state,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
AK,0,16,1167,18,835,24,42,24,50,13,15,21,46,8,0.43359040274207367,18,506,1167,0.05029940119760479,24,42,835,0.027420736932305057,18,32,1167,0.09090909090909091,6,4,44,0.5,8,23,46,2020-09-03
AL,14,110,14868,110,9591,110,1041,110,1178,110,356,110,1457,110,0.6450766747376917,110,9591,14868,0.10834645669291339,108,1032,9525,0.06977687626774848,108,1032,14790,0.24517906336088155,108,356,1452,0.8085106382978723,110,1178,1457,2020-09-03
AR,1,94,8668,94,5183,96,548,96,575,78,243,77,945,74,0.5952930318412551,94,5160,8668,0.1057302720432182,96,548,5183,0.06322104291647439,94,548,8668,0.24867724867724866,71,235,945,0.6678787878787878,70,551,825,2020-09-03
AZ,2,80,11867,80,9028,89,670,91,822,65,171,71,1366,56,0.6273700176961321,79,7445,11867,0.07354895879486044,89,664,9028,0.048369427825061095,80,574,11867,0.09443631039531479,54,129,1366,0.4985358711566618,56,681,1366,2020-09-03
CA,29,383,61827,385,42602,386,4315,385,4987,366,1231,367,7134,365,0.6869167192326977,385,42470,61827,0.10150314036367059,385,4315,42511,0.06990571234163885,384,4315,61726,0.17255396691897953,362,1231,7134,0.6990468180543874,364,4987,7134,2020-09-03
CO,5,92,10747,94,6646,96,285,96,675,77,92,77,1186,71,0.616823299525449,94,6629,10747,0.04288293710502558,96,285,6646,0.026425979343072486,94,284,10747,0.0782312925170068,68,92,1176,0.5874125874125874,69,672,1144,2020-09-03
CT,5,30,8064,30,5876,30,195,31,506,28,23,29,1040,29,0.7286706349206349,30,5876,8064,0.033185840707964605,30,195,5876,0.02418154761904762,30,195,8064,0.022115384615384617,28,23,1040,0.48653846153846153,28,506,1040,2020-09-03
DC,8,13,3149,13,2334,13,120,13,243,11,26,11,342,11,0.741187678628136,13,2334,3149,0.05141388174807198,13,120,2334,0.03810733566211496,13,120,3149,0.07602339181286549,11,26,342,0.7105263157894737,11,243,342,2020-09-03
DE,0,11,2478,11,1785,12,93,12,105,7,14,7,142,6,0.6840193704600485,11,1695,2478,0.052100840336134456,12,93,1785,0.03753026634382567,11,93,2478,0.09859154929577464,6,14,142,0.7394366197183099,6,105,142,2020-09-03
FL,52,245,74025,253,40436,253,4362,255,4202,239,968,250,5584,239,0.5565941207378114,252,40254,72322,0.10550004946087645,253,4266,40436,0.058858493752110774,253,4357,74025,0.16468896080546566,237,916,5562,0.7525071633237822,239,4202,5584,2020-09-03
GA,17,129,17973,136,13750,136,2526,146,1493,104,613,113,1839,98,0.7628126051362566,134,13604,17834,0.16967272727272728,136,2333,13750,0.12991709786902575,136,2335,17973,0.2816027088036117,91,499,1772,0.789015769439913,96,1451,1839,2020-09-03
HI,1,17,1754,16,1736,25,244,23,108,15,43,15,97,13,0.6670467502850627,16,1170,1754,0.15235885537509666,19,197,1293,0.09635119726339794,16,169,1754,0.29896907216494845,13,29,97,0.6082474226804123,13,59,97,2020-09-03
IA,0,122,8235,122,4541,122,345,122,421,122,91,121,693,121,0.5514268366727383,122,4541,8235,0.07597445496586655,122,345,4541,0.04189435336976321,122,345,8235,0.13131313131313133,120,91,693,0.6075036075036075,121,421,693,2020-09-03
MT,282,50,2176,51,1773,56,131,61,122,30,28,30,153,24,0.75,51,1632,2176,0.07388606880992668,56,131,1773,0.058823529411764705,51,128,2176,0.1568627450980392,20,24,153,0.6862745098039216,24,105,153,2020-09-03
NC,8,118,22663,119,9528,120,1193,119,1790,111,331,112,2427,109,0.4101398755681066,119,9295,22663,0.12552609427609426,119,1193,9504,0.05269667388135518,118,1193,22639,0.1330861145447054,109,323,2427,0.734651833539349,109,1783,2427,2020-09-03
ND,1,47,2078,47,1355,47,104,47,53,45,24,47,90,44,0.6520692974013474,47,1355,2078,0.07675276752767528,47,104,1355,0.05004812319538017,47,104,2078,0.12222222222222222,44,11,90,0.5888888888888889,44,53,90,2020-09-03
NE,1,80,4791,85,2631,85,223,86,303,65,74,62,625,65,0.5491546649968692,85,2631,4791,0.08095781071835804,84,213,2631,0.0445141065830721,84,213,4785,0.1187800963081862,60,74,623,0.4848,63,303,625,2020-09-03
NH,1,30,3241,30,2067,30,33,30,137,28,6,29,279,29,0.6377661215674174,30,2067,3241,0.015965166908563134,30,33,2067,0.010182042579450786,30,33,3241,0.021505376344086023,29,6,279,0.4910394265232975,28,137,279,2020-09-03
NJ,55,85,20289,91,14780,93,680,99,1031,88,71,95,2025,87,0.7043225393070136,91,14290,20289,0.0456021650879567,93,674,14780,0.03169204987924491,91,643,20289,0.03506172839506173,87,71,2025,0.5037037037037037,87,1020,2025,2020-09-03
NM,1,47,3418,47,2035,44,95,46,261,41,29,43,369,43,0.60964649490713,44,2035,3338,0.046890927624872576,43,92,1962,0.028796605031827828,46,95,3299,0.08011049723756906,42,29,362,0.7079889807162535,40,257,363,2020-09-03
NV,22,60,8512,61,5954,61,684,61,595,58,185,57,964,58,0.699483082706767,61,5954,8512,0.11488075243533759,61,684,5954,0.08035714285714286,61,684,8512,0.19190871369294607,57,185,964,0.6172199170124482,58,595,964,2020-09-03
NY,22,138,45210,150,34280,155,1594,163,2874,128,233,130,4990,119,0.667820299500832,149,30102,45075,0.04399066511085181,155,1508,34280,0.029617341296173414,150,1339,45210,0.037275064267352186,109,174,4668,0.5614211160176635,116,2797,4982,2020-09-03
OH,16,86,30132,206,19000,205,1147,206,2425,190,338,188,3897,191,0.6406365904646301,205,19000,29658,0.05957851370622722,204,1128,18933,0.03820277111644018,205,1147,30024,0.087001287001287,187,338,3885,0.6300337750064952,190,2425,3849,2020-09-03
OK,8,127,9118,125,5233,125,523,128,714,122,197,124,1119,121,0.5739197192366747,125,5233,9118,0.08656602331358686,125,453,5233,0.049681947795569205,125,453,9118,0.16979445933869527,121,190,1119,0.6380697050938338,121,714,1119,2020-09-03
OR,0,51,6259,58,4335,59,184,61,430,51,42,51,695,47,0.6903658731426745,58,4321,6259,0.04244521337946944,59,184,4335,0.029237897427704107,58,183,6259,0.058992805755395686,46,41,695,0.6086330935251798,47,423,695,2020-09-03
PA,17,180,28168,183,21623,204,1011,206,2623,173,189,178,3360,160,0.6963220675944334,183,19614,28168,0.045553345974194144,204,985,21623,0.03227066174382278,183,909,28168,0.05029761904761905,153,169,3360,0.7366071428571429,155,2475,3360,2020-09-03
ID,2,47,3935,47,1806,44,162,49,177,47,58,48,297,45,0.4631104033970276,43,1745,3768,0.0858250276854928,44,155,1806,0.04116899618805591,47,162,3935,0.1919191919191919,45,57,297,0.6006944444444444,44,173,288,2020-09-03
IL,12,175,29481,182,17832,187,1675,191,1768,145,377,151,3317,131,0.5891766472173884,181,17267,29307,0.09202557200538358,187,1641,17832,0.05437400359553611,182,1603,29481,0.10842645726366656,129,359,3311,0.5028901734104047,128,1653,3287,2020-09-03
IN,0,139,16945,139,9846,140,773,140,1357,133,175,133,2340,133,0.5781646503393332,139,9797,16945,0.07850903920373756,140,773,9846,0.04561817645323104,139,773,16945,0.07478632478632478,133,175,2340,0.57991452991453,133,1357,2340,2020-09-03
KS,4,123,7605,125,4402,130,289,132,491,83,76,92,658,78,0.5649710068529257,124,4287,7588,0.062385321100917435,129,272,4360,0.03424566970778792,124,259,7563,0.09876543209876543,72,64,648,0.7547770700636943,75,474,628,2020-09-03
KY,15,109,13182,109,8370,110,539,110,1000,97,496,101,1514,103,0.6312395691093916,109,8321,13182,0.06439665471923536,110,539,8370,0.040889091184949176,109,539,13182,0.3319946452476573,100,496,1494,0.6605019815059445,97,1000,1514,2020-09-03
LA,14,186,13785,174,8781,177,805,209,1198,93,300,203,1709,84,0.6193688792165397,174,8538,13785,0.09166187464059805,173,797,8695,0.05590972374880926,170,763,13647,0.1586737714624038,80,268,1689,0.6512580456407255,84,1113,1709,2020-09-03
MA,4,79,17922,80,11934,80,275,80,870,76,57,75,1852,76,0.6658855038500168,80,11934,17922,0.023043405396346573,80,275,11934,0.015344269612766432,80,275,17922,0.030777537796976243,75,57,1852,0.46976241900647947,76,870,1852,2020-09-03
MD,2,38,10773,53,8339,54,733,52,740,48,138,50,1057,48,0.7686809616634178,53,8281,10773,0.08831325301204819,52,733,8300,0.06799738830332991,51,729,10721,0.12961210974456008,48,137,1057,0.7021883920076119,47,738,1051,2020-09-03
ME,0,31,2949,32,1851,33,34,33,185,30,8,29,284,28,0.624618514750763,32,1842,2949,0.018368449486763912,33,34,1851,0.011190233977619531,32,33,2949,0.021352313167259787,27,6,281,0.647887323943662,28,184,284,2020-09-03
MI,2,122,23194,145,16285,146,648,146,1489,123,154,143,2153,121,0.6944899542985254,145,16108,23194,0.03979121891311022,146,648,16285,0.02793825989480038,145,648,23194,0.0562006502554575,121,121,2153,0.6915931258708778,121,1489,2153,2020-09-03
MN,3,129,10980,129,6994,129,409,129,654,129,96,129,974,129,0.636976320582878,129,6994,10980,0.05847869602516443,129,409,6994,0.03724954462659381,129,409,10980,0.09856262833675565,129,96,974,0.6714579055441479,129,654,974,2020-09-03
MO,10,122,19044,125,11898,129,941,151,1384,123,304,122,2207,120,0.5952530980886368,125,11336,19044,0.07253319885695075,129,863,11898,0.04521109010712035,125,861,19044,0.1336656094245582,114,295,2207,0.6258596973865199,117,1365,2181,2020-09-03
MS,3,91,7667,95,4908,99,657,100,530,69,176,69,542,65,0.6280161732098605,95,4815,7667,0.13386308068459657,99,657,4908,0.0855614973262032,95,656,7667,0.3042671614100185,62,164,539,0.9428044280442804,65,511,542,2020-09-03
WY,0,27,1552,27,563,27,39,27,43,27,6,27,117,27,0.3627577319587629,27,563,1552,0.06927175843694494,27,39,563,0.025128865979381444,27,39,1552,0.05128205128205128,27,6,117,0.36752136752136755,27,43,117,2020-09-03
