state,collection_date,Inpatient Beds Occupied Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL,geocoded_state
MD,2021/03/26,8347,8347,8347,84.29,84.29,84.29,9903,9903,9903,POINT (-76.687282 38.946466)
MI,2021/03/26,16498,16497,16499,78.23,78.23,78.23,21088,21088,21088,POINT (-85.730977 44.874798)
AL,2021/03/27,9492,9492,9492,68.54,68.54,68.54,13848,13848,13848,POINT (-86.844516 32.756889)
AZ,2021/03/27,9238,9238,9238,66.82,66.82,66.82,13826,13826,13826,POINT (-111.664616 34.293239)
CT,2021/03/27,6119,6119,6119,78.17,78.17,78.17,7828,7828,7828,POINT (-72.738288 41.575155)
DC,2021/03/27,2116,2116,2116,77.23,77.23,77.23,2740,2740,2740,POINT (-77.016275 38.904785)
GA,2021/03/27,14529,14529,14529,75.32,75.32,75.32,19289,19289,19289,POINT (-83.426574 32.638481)
ID,2021/03/27,1656,1652,1661,51.66,51.66,51.66,3206,3206,3206,POINT (-114.659366 44.389073)
IN,2021/03/27,10045,10045,10045,59.78,59.78,59.78,16804,16804,16804,POINT (-86.2818 39.919991)
KS,2021/03/27,4331,4331,4331,55.29,55.29,55.29,7833,7833,7833,POINT (-98.38018 38.484729)
LA,2021/03/27,8150,8144,8155,65.54,65.54,65.54,12434,12434,12434,POINT (-91.840238 30.921314)
MD,2021/03/27,8188,8188,8188,82.95,82.95,82.95,9871,9871,9871,POINT (-76.687282 38.946466)
MI,2021/03/27,15812,15808,15815,75.8,75.8,75.8,20859,20859,20859,POINT (-85.730977 44.874798)
AL,2021/03/28,9346,9346,9346,67.44,67.44,67.44,13858,13858,13858,POINT (-86.844516 32.756889)
AZ,2021/03/28,8876,8872,8881,64.74,64.56,64.92,13711,13697,13725,POINT (-111.664616 34.293239)
CT,2021/03/28,5969,5969,5969,76.33,76.33,76.33,7820,7820,7820,POINT (-72.738288 41.575155)
DC,2021/03/28,2058,2058,2058,76.28,76.28,76.28,2698,2698,2698,POINT (-77.016275 38.904785)
GA,2021/03/28,14280,14278,14281,74.09,73.97,74.2,19274,19261,19287,POINT (-83.426574 32.638481)
ID,2021/03/28,1655,1650,1660,51.35,51.35,51.35,3223,3223,3223,POINT (-114.659366 44.389073)
IN,2021/03/28,9601,9601,9601,57.25,57.25,57.25,16769,16769,16769,POINT (-86.2818 39.919991)
KS,2021/03/28,4134,4132,4136,52.87,52.87,52.87,7819,7819,7819,POINT (-98.38018 38.484729)
LA,2021/03/28,7964,7954,7974,64.21,64.21,64.21,12403,12403,12403,POINT (-91.840238 30.921314)
MD,2021/03/28,7991,7991,7991,81.81,81.81,81.81,9768,9768,9768,POINT (-76.687282 38.946466)
MI,2021/03/28,15478,15478,15478,74.52,74.52,74.52,20769,20769,20769,POINT (-85.730977 44.874798)
AL,2021/03/29,9447,9447,9447,67.98,67.98,67.98,13897,13897,13897,POINT (-86.844516 32.756889)
AZ,2021/03/29,8963,8956,8970,65.14,64.94,65.34,13760,13746,13774,POINT (-111.664616 34.293239)
CT,2021/03/29,5998,5998,5998,76.66,76.66,76.66,7824,7824,7824,POINT (-72.738288 41.575155)
DC,2021/03/29,2000,2000,2000,73.8,73.8,73.8,2710,2710,2710,POINT (-77.016275 38.904785)
GA,2021/03/29,14368,14349,14387,74.8,74.5,75.1,19209,19188,19230,POINT (-83.426574 32.638481)
ID,2021/03/29,1773,1770,1775,55.09,55.09,55.09,3218,3218,3218,POINT (-114.659366 44.389073)
IN,2021/03/29,9749,9740,9758,58.17,58.17,58.17,16759,16759,16759,POINT (-86.2818 39.919991)
KS,2021/03/29,4178,4175,4180,53.5,53.5,53.5,7809,7809,7809,POINT (-98.38018 38.484729)
LA,2021/03/29,7986,7981,7992,64.14,64.14,64.14,12451,12451,12451,POINT (-91.840238 30.921314)
MD,2021/03/29,8040,8040,8040,83.32,83.32,83.32,9650,9650,9650,POINT (-76.687282 38.946466)
MI,2021/03/29,15984,15978,15990,76.61,76.61,76.61,20864,20864,20864,POINT (-85.730977 44.874798)
AL,2021/03/30,9951,9951,9951,71.78,71.78,71.78,13863,13863,13863,POINT (-86.844516 32.756889)
AZ,2021/03/30,9511,9511,9511,67.85,67.85,67.85,14017,14017,14017,POINT (-111.664616 34.293239)
CT,2021/03/30,6256,6256,6256,80.64,80.64,80.64,7758,7758,7758,POINT (-72.738288 41.575155)
DC,2021/03/30,2075,2075,2075,75.92,75.92,75.92,2733,2733,2733,POINT (-77.016275 38.904785)
GA,2021/03/30,14803,14803,14803,76.83,76.83,76.83,19266,19266,19266,POINT (-83.426574 32.638481)
ID,2021/03/30,1858,1855,1861,57.58,57.58,57.58,3227,3227,3227,POINT (-114.659366 44.389073)
IN,2021/03/30,10330,10330,10330,61.53,61.53,61.53,16789,16789,16789,POINT (-86.2818 39.919991)
KS,2021/03/30,4456,4456,4456,56.99,56.99,56.99,7819,7819,7819,POINT (-98.38018 38.484729)
LA,2021/03/30,8468,8463,8473,67.63,67.63,67.63,12521,12521,12521,POINT (-91.840238 30.921314)
MD,2021/03/30,8214,8214,8214,84.19,84.19,84.19,9756,9756,9756,POINT (-76.687282 38.946466)
MI,2021/03/30,16382,16382,16382,77.85,77.85,77.85,21042,21042,21042,POINT (-85.730977 44.874798)
AL,2021/03/31,10129,10129,10129,72.94,72.94,72.94,13887,13887,13887,POINT (-86.844516 32.756889)
AZ,2021/03/31,9590,9590,9590,68.19,68.19,68.19,14064,14064,14064,POINT (-111.664616 34.293239)
CT,2021/03/31,6231,6231,6231,79.91,79.91,79.91,7798,7798,7798,POINT (-72.738288 41.575155)
DC,2021/03/31,2103,2103,2103,77.15,77.15,77.15,2726,2726,2726,POINT (-77.016275 38.904785)
