state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
VI,2,0,0,2,0,0,0,2,168,2,93,2,5,2,0,2,0,2,0,2,0,2,12,2,4,2,4,2,5,2,5,2,0,2,0,2,20,2,0.5535714285714286,2,93,168,0.053763440860215055,2,5,93,0.02976190476190476,2,5,168,0.2,2,4,20,0.6,2,12,20,2021-02-28
VT,2,14,1,2,14,1,0,16,1302,17,887,17,25,16,2,17,4,16,0,16,0,16,72,17,6,16,8,17,25,16,27,17,0,16,0,16,105,17,0.6812596006144394,17,887,1302,0.02910360884749709,16,25,859,0.019762845849802372,16,25,1265,0.061224489795918366,16,6,98,0.6857142857142857,17,72,105,2021-02-28
WA,8,95,2,11,92,2,18,103,14071,105,9965,105,454,103,55,105,82,103,1,103,15,103,957,105,106,103,100,105,434,103,383,105,20,103,3,103,1368,105,0.7081941581977116,105,9965,14071,0.045997973657548125,103,454,9870,0.032584511591186395,103,454,13933,0.07928197456993269,103,106,1337,0.6995614035087719,105,957,1368,2021-02-28
WI,12,117,20,16,113,20,7,146,13865,149,8757,149,313,146,58,149,35,146,0,146,4,146,844,149,83,146,83,149,308,146,289,149,5,146,1,146,1605,149,0.6315903353768482,149,8757,13865,0.0364674356285681,146,313,8583,0.023006247703050348,146,313,13605,0.05344494526722473,146,83,1553,0.5258566978193147,149,844,1605,2021-02-28
WV,14,45,4,15,44,4,6,59,6215,63,4703,63,259,59,23,63,62,59,0,59,0,59,476,63,61,59,58,63,254,59,219,63,5,59,4,59,684,63,0.7567176186645214,63,4703,6215,0.05613350671868227,59,259,4614,0.043044706664450726,59,259,6017,0.09576138147566719,59,61,637,0.695906432748538,63,476,684,2021-02-28
MT,9,57,1,9,57,1,4,66,3197,67,2076,67,63,66,12,67,13,66,1,66,4,66,124,67,9,66,9,67,60,66,56,67,3,66,0,66,221,67,0.6493587738504848,67,2076,3197,0.030538051381483276,66,63,2063,0.019886363636363636,66,63,3168,0.04186046511627907,66,9,215,0.5610859728506787,67,124,221,2021-02-28
NC,4,123,4,4,123,4,38,127,24323,131,18438,131,1322,127,133,131,131,127,4,127,10,127,1931,131,342,127,338,131,1294,127,1192,131,28,127,19,127,2514,131,0.7580479381655223,131,18438,24323,0.07254568402568183,127,1322,18223,0.05501685463398394,127,1322,24029,0.1393643031784841,127,342,2454,0.7680986475735879,131,1931,2514,2021-02-28
ND,12,36,1,12,36,1,9,48,2395,49,1692,49,78,48,4,49,9,48,1,48,3,48,116,49,12,48,12,49,74,48,48,49,4,48,2,48,195,49,0.7064718162839249,49,1692,2395,0.04665071770334928,48,78,1672,0.03292528493035036,48,78,2369,0.06282722513089005,48,12,191,0.5948717948717949,49,116,195,2021-02-28
NE,9,92,0,17,84,0,1,101,4352,101,2951,101,163,101,17,101,15,101,0,101,1,101,358,101,41,101,37,101,159,101,139,101,4,101,3,101,563,101,0.6780790441176471,101,2951,4352,0.055235513385293124,101,163,2951,0.03745404411764706,101,163,4352,0.07282415630550622,101,41,563,0.6358792184724689,101,358,563,2021-02-28
NH,4,25,1,6,23,1,0,30,3171,30,2263,30,119,30,11,30,26,30,1,30,1,30,171,30,22,30,21,30,117,30,84,30,2,30,1,30,282,30,0.7136549984232103,30,2263,3171,0.052585064074237735,30,119,2263,0.037527593818984545,30,119,3171,0.07801418439716312,30,22,282,0.6063829787234043,30,171,282,2021-02-28
NJ,9,77,10,11,75,10,63,95,24262,96,17513,96,1941,95,241,96,153,95,2,95,5,95,1412,96,341,95,327,96,1916,95,1767,96,25,95,7,95,2944,96,0.7218283735883274,96,17513,24262,0.11109839162039951,95,1941,17471,0.08024640317512816,95,1941,24188,0.11646174863387979,95,341,2928,0.4796195652173913,96,1412,2944,2021-02-28
