state,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
WA,4,92,9972,81,8746,96,394,96,850,78,96,80,914,66,0.6040914560770156,81,6024,9972,0.045386476212417926,95,394,8681,0.030382557787423034,80,301,9907,0.07549234135667396,61,69,914,0.6726057906458798,60,604,898,2020-09-01
WI,2,136,12597,133,7447,134,509,136,820,127,132,130,1470,127,0.5883146780979598,133,7411,12597,0.06593259030482074,134,491,7447,0.03881876637294594,133,489,12597,0.08979591836734693,127,132,1470,0.5551020408163265,126,816,1470,2020-09-01
WV,3,60,6657,60,4397,60,217,60,466,60,62,60,616,60,0.6605077362175154,60,4397,6657,0.049351830793722996,60,217,4397,0.03259726603575184,60,217,6657,0.10064935064935066,60,62,616,0.7564935064935064,60,466,616,2020-09-01
AK,0,16,1166,18,886,24,40,24,58,13,14,21,46,8,0.4391080617495712,18,512,1166,0.045146726862302484,24,40,886,0.029159519725557463,18,34,1166,0.045454545454545456,6,2,44,0.5869565217391305,8,27,46,2020-09-01
AL,15,106,15161,111,10007,111,1010,106,1228,111,358,106,1459,111,0.6600488094452872,111,10007,15161,0.103345342254246,105,1004,9715,0.06835511982570806,105,1004,14688,0.2512280701754386,105,358,1425,0.8416723783413297,111,1228,1459,2020-09-01
AR,1,95,8766,96,5480,98,605,98,621,80,247,79,972,75,0.6225188227241615,96,5457,8766,0.1104014598540146,98,605,5480,0.06901665525895505,96,605,8766,0.24588477366255143,72,239,972,0.7018779342723005,71,598,852,2020-09-01
AZ,2,81,11918,81,9312,90,703,92,839,65,174,71,1372,56,0.6472562510488337,80,7714,11918,0.0743127147766323,90,692,9312,0.051099177714381605,81,609,11918,0.09402332361516035,54,129,1372,0.5072886297376094,56,696,1372,2020-09-01
CA,33,386,62735,388,44048,389,4361,388,5051,368,1210,369,7183,367,0.70005579022874,388,43918,62735,0.0992105921696203,388,4361,43957,0.06962672031165182,387,4361,62634,0.16845329249617153,364,1210,7183,0.7031880829736878,366,5051,7183,2020-09-01
CO,6,93,10830,95,6871,97,278,97,694,77,88,77,1176,71,0.6325023084025854,95,6850,10830,0.04045990394411294,97,278,6871,0.025577100646352723,95,277,10830,0.07547169811320754,68,88,1166,0.6084656084656085,69,690,1134,2020-09-01
CT,5,30,8064,30,5879,30,195,31,506,28,23,29,1040,29,0.7290426587301587,30,5879,8064,0.03316890627657765,30,195,5879,0.02418154761904762,30,195,8064,0.022115384615384617,28,23,1040,0.48653846153846153,28,506,1040,2020-09-01
DC,7,12,3234,12,2430,12,132,13,225,11,27,10,341,11,0.75139146567718,12,2430,3234,0.05432098765432099,12,132,2430,0.04081632653061224,12,132,3234,0.07917888563049853,10,27,341,0.6598240469208211,11,225,341,2020-09-01
DE,0,11,2492,11,1857,12,91,12,104,7,13,7,142,6,0.7090690208667737,11,1767,2492,0.04900376952073236,12,91,1857,0.03651685393258427,11,91,2492,0.09154929577464789,6,13,142,0.7323943661971831,6,104,142,2020-09-01
FL,99,251,75277,259,41669,259,4471,261,4320,246,990,257,5576,246,0.5638812624024792,258,41487,73574,0.10477813242458422,259,4366,41669,0.059300981707560076,259,4464,75277,0.16798703637018364,244,933,5554,0.7747489239598279,246,4320,5576,2020-09-01
GA,21,122,15577,125,12441,127,2614,147,1256,95,587,107,1423,87,0.781799446126103,124,12139,15527,0.17353910457358734,127,2159,12441,0.13609809334274892,125,2120,15577,0.3163716814159292,80,429,1356,0.8468025298664793,86,1205,1423,2020-09-01
HI,1,17,1747,16,1781,25,249,23,109,15,41,15,93,13,0.6960503720663995,16,1216,1747,0.15022421524663676,19,201,1338,0.09902690326273612,16,173,1747,0.2903225806451613,13,27,93,0.6129032258064516,13,57,93,2020-09-01
