state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start,geocoded_state,previous_day_admission_adult_covid_confirmed_18-19,previous_day_admission_adult_covid_confirmed_18-19_coverage,previous_day_admission_adult_covid_confirmed_20-29,previous_day_admission_adult_covid_confirmed_20-29_coverage,previous_day_admission_adult_covid_confirmed_30-39,previous_day_admission_adult_covid_confirmed_30-39_coverage,previous_day_admission_adult_covid_confirmed_40-49,previous_day_admission_adult_covid_confirmed_40-49_coverage,previous_day_admission_adult_covid_confirmed_50-59,previous_day_admission_adult_covid_confirmed_50-59_coverage,previous_day_admission_adult_covid_confirmed_60-69,previous_day_admission_adult_covid_confirmed_60-69_coverage,previous_day_admission_adult_covid_confirmed_70-79,previous_day_admission_adult_covid_confirmed_70-79_coverage,previous_day_admission_adult_covid_confirmed_80+,previous_day_admission_adult_covid_confirmed_80+_coverage,previous_day_admission_adult_covid_confirmed_unknown,previous_day_admission_adult_covid_confirmed_unknown_coverage,previous_day_admission_adult_covid_suspected_18-19,previous_day_admission_adult_covid_suspected_18-19_coverage,previous_day_admission_adult_covid_suspected_20-29,previous_day_admission_adult_covid_suspected_20-29_coverage,previous_day_admission_adult_covid_suspected_30-39,previous_day_admission_adult_covid_suspected_30-39_coverage,previous_day_admission_adult_covid_suspected_40-49,previous_day_admission_adult_covid_suspected_40-49_coverage,previous_day_admission_adult_covid_suspected_50-59,previous_day_admission_adult_covid_suspected_50-59_coverage,previous_day_admission_adult_covid_suspected_60_69,previous_day_admission_adult_covid_suspected_60-69_coverage,previous_day_admission_adult_covid_suspected_70-79,previous_day_admission_adult_covid_suspected_70-79_coverage,previous_day_admission_adult_covid_suspected_80,previous_day_admission_adult_covid_suspected_80+_coverage,previous_day_admission_adult_covid_suspected_unknown,previous_day_admission_adult_covid_suspected_unknown_coverage,deaths_covid,deaths_covid_coverage,on_hand_supply_therapeutic_a_casirivimab_imdevimab_courses,on_hand_supply_therapeutic_b_bamlanivimab_courses,on_hand_supply_therapeutic_c_bamlanivimab_etesevimab_courses,previous_week_therapeutic_a_casirivimab_imdevimab_courses_used,previous_week_therapeutic_b_bamlanivimab_courses_used,previous_week_therapeutic_c_bamlanivimab_etesevimab_courses_used
FL,40,135,59,37,138,59,124,228,55469,234,46034,234,10979,228,962,234,219,228,46,228,25,228,6013,234,2673,228,2700,234,10820,228,10534,234,159,228,138,228,6743,234,0.829904991977501,234,46034,55469,0.242244384625568,228,10979,45322,0.201486511286475,228,10979,54490,0.408403361344538,228,2673,6545,0.891739581788521,234,6013,6743,2021/09/10,POINT (-82.420978 28.260731),6,234,59,234,97,234,125,234,151,234,165,234,177,234,144,234,38,234,4,228,13,228,20,228,30,228,31,228,36,228,38,228,44,228,3,228,187,228,13171,2457,3172,4423,0,16
GA,45,96,15,44,96,16,12,153,20979,156,18939,156,5956,153,719,156,124,153,55,152,45,153,2678,156,1610,153,1590,156,5845,153,5524,156,111,153,65,153,2763,156,0.902759902759903,156,18939,20979,0.317771968201462,153,5956,18743,0.28813313337526,153,5956,20671,0.595634480207177,153,1610,2703,0.969236337314513,156,2678,2763,2021/09/10,POINT (-83.426574 32.638481),4,155,53,154,54,155,62,155,103,155,114,156,143,156,45,156,76,156,2,152,5,151,8,151,10,151,12,151,24,151,9,151,16,152,48,153,95,153,9290,2691,1187,7121,0,98
HI,5,15,4,5,15,4,3,24,2439,24,1963,24,426,24,36,24,22,24,1,24,3,24,192,24,77,24,74,24,419,24,400,24,7,24,4,24,232,24,0.804838048380484,24,1963,2439,0.217014773306164,24,426,1963,0.174661746617466,24,426,2439,0.331896551724138,24,77,232,0.827586206896552,24,192,232,2021/09/10,POINT (-157.854309 21.361013),0,24,2,24,2,24,2,24,8,24,9,24,6,24,1,24,6,24,0,24,1,24,1,24,3,24,2,24,4,24,3,24,7,24,1,24,5,24,459,0,10,98,0,15
IA,2,26,94,4,24,94,0,120,7730,122,4950,122,642,120,68,122,55,120,1,120,11,120,467,122,157,120,153,122,629,120,557,122,13,120,7,120,632,122,0.640362225097025,122,4950,7730,0.131665299425759,120,642,4876,0.084108476352679,120,642,7633,0.256117455138662,120,157,613,0.738924050632911,122,467,632,2021/09/10,POINT (-93.500061 42.074659),1,122,5,122,8,122,8,122,13,122,6,122,11,122,15,122,1,122,2,120,7,120,9,120,5,120,6,120,8,120,6,120,12,120,0,120,12,120,33,22,33,2,0,0
PR,0,10,55,0,10,55,6,64,9133,65,5512,65,356,64,13,65,10,64,0,64,3,64,459,65,103,64,78,65,336,64,307,65,20,64,10,64,648,65,0.603525676119566,65,5512,9133,0.0661095636026,64,356,5385,0.039794321484462,64,356,8946,0.165861513687601,64,103,621,0.708333333333333,65,459,648,2021/09/10,POINT (-66.414655 18.215692),0,65,0,65,2,65,1,65,2,65,4,65,1,65,3,65,0,65,0,64,0,64,2,64,0,64,3,64,0,64,3,64,2,64,0,64,9,64,0,42,18,0,0,5
RI,6,5,2,6,5,2,2,12,2148,13,1882,13,103,12,13,13,5,12,0,12,0,12,120,13,19,12,17,13,101,12,91,13,2,12,2,12,148,13,0.876163873370577,13,1882,2148,0.056284153005464,12,103,1830,0.049235181644359,12,103,2092,0.136690647482014,12,19,139,0.810810810810811,13,120,148,2021/09/10,POINT (-71.534637 41.572574),0,13,1,13,2,13,1,13,3,13,5,13,1,13,0,13,0,13,1,12,1,12,0,12,1,12,0,12,0,12,1,12,1,12,0,12,2,12,83,266,33,0,0,8
SC,31,40,5,31,40,5,9,74,10690,76,8847,76,2589,74,297,76,73,74,3,74,6,74,1182,76,584,74,595,76,2555,74,2517,76,34,74,28,74,1382,76,0.827595884003742,76,8847,10690,0.296631530705774,74,2589,8728,0.246055882911994,74,2589,10522,0.434847356664185,74,584,1343,0.855282199710564,76,1182,1382,2021/09/10,POINT (-80.864614 33.878572),2,76,15,76,22,76,32,76,61,76,81,76,52,76,32,76,0,71,0,74,3,74,5,74,5,74,18,74,16,74,10,74,13,74,3,69,52,74,3232,2501,1524,1596,19,52
SD,1,60,3,1,60,3,31,61,2635,64,1513,64,215,61,25,64,17,61,3,61,1,61,155,64,61,61,65,64,206,61,201,64,9,61,6,61,252,64,0.574193548387097,64,1513,2635,0.145861601085482,61,215,1474,0.083722741433022,61,215,2568,0.253112033195021,61,61,241,0.615079365079365,64,155,252,2021/09/10,POINT (-100.230491 44.43614),0,64,3,64,1,64,4,64,5,64,5,64,4,64,2,64,1,64,0,61,3,61,0,61,1,61,4,61,2,61,4,61,3,61,0,61,1,61,1012,146,637,404,2,84
TN,29,74,37,46,57,37,36,103,19466,140,13756,130,3721,103,277,106,72,103,9,103,3,103,1963,140,1061,103,1064,106,3651,103,3577,106,70,103,65,103,2440,140,0.727676682183665,130,13756,18904,0.293431117419762,103,3721,12681,0.214516315000576,103,3721,17346,0.45072217502124,103,1061,2354,0.804508196721312,140,1963,2440,2021/09/10,POINT (-86.343226 35.842998),0,106,13,106,24,106,31,106,60,106,53,106,49,106,23,106,24,106,0,103,2,103,3,103,11,103,13,103,15,103,12,103,4,103,12,103,89,103,860,0,150,290,0,0
TX,21,82,403,19,84,403,74,501,62043,506,50415,506,13784,501,1231,506,622,501,55,501,131,501,7197,506,3709,501,3685,506,13447,501,12909,506,337,501,270,501,7811,506,0.812581596634592,506,50415,62043,0.276864982123489,501,13784,49786,0.225052246603971,501,13784,61248,0.486809292558078,501,3709,7619,0.921392907438228,506,7197,7811,2021/09/10,POINT (-99.317341 31.447238),7,506,65,505,160,505,179,505,238,505,217,505,147,505,134,505,84,506,6,501,42,500,52,500,67,500,62,500,107,500,86,500,54,500,146,501,206,501,1776,1646,305,1695,0,0
UT,1,43,9,2,42,9,0,52,5583,53,3399,53,571,52,62,53,4,52,3,52,0,52,448,53,211,52,213,53,562,52,539,53,9,52,1,52,615,53,0.608812466415906,53,3399,5583,0.170143027413588,52,571,3356,0.103592162554427,52,571,5512,0.348760330578512,52,211,605,0.728455284552846,53,448,615,2021/09/10,POINT (-111.678222 39.323779),2,53,4,53,6,53,5,53,16,53,14,53,10,53,4,53,1,53,0,52,1,52,0,52,1,52,1,52,1,52,0,52,0,52,0,52,0,52,216,224,106,102,0,4
VA,20,61,20,21,60,20,44,98,17601,101,13038,101,2014,98,168,101,166,98,16,98,18,98,1463,101,488,98,497,101,1977,98,1840,101,37,98,15,98,1956,101,0.740753366286006,101,13038,17601,0.15647579830627,98,2014,12871,0.116074001498473,98,2014,17351,0.256706996317728,98,488,1901,0.747955010224949,101,1463,1956,2021/09/10,POINT (-78.666382 37.510861),1,101,12,100,15,100,25,100,30,100,32,100,30,100,18,100,5,101,0,98,9,97,15,97,15,97,25,97,39,97,32,97,31,97,0,98,29,98,1223,4350,695,598,0,16
VI,2,0,0,2,0,0,0,2,168,2,102,2,6,2,0,2,0,2,0,2,0,2,8,2,2,2,2,2,6,2,6,2,0,2,0,2,20,2,0.607142857142857,2,102,168,0.058823529411765,2,6,102,0.035714285714286,2,6,168,0.1,2,2,20,0.4,2,8,20,2021/09/10,POINT (-64.840836 18.060868),0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,0,2,205,17,136,19,0,0
VT,2,14,1,1,15,1,0,16,1269,17,913,17,38,16,7,17,7,16,0,16,0,16,77,17,9,16,10,17,38,16,38,17,0,16,0,16,103,17,0.71946414499606,17,913,1269,0.042648709315376,16,38,891,0.030819140308191,16,38,1233,0.092783505154639,16,9,97,0.747572815533981,17,77,103,2021/09/10,POINT (-72.662695 44.075252),0,17,0,17,3,17,0,17,0,17,0,17,2,17,2,17,0,17,0,16,0,16,1,16,0,16,1,16,3,16,1,16,1,16,0,16,0,16,,,,,,
WA,16,68,5,16,68,5,19,87,12149,88,9462,88,1843,87,146,89,141,87,1,87,5,87,1004,88,454,87,438,89,1814,87,1658,89,29,87,14,87,1254,88,0.778829533294921,88,9462,12149,0.196583021890016,86,1841,9365,0.153288925895087,86,1841,12010,0.36709886547812,86,453,1234,0.800637958532695,88,1004,1254,2021/09/10,POINT (-120.592492 47.411715),0,89,15,89,17,89,18,89,26,89,38,89,20,89,12,89,0,89,0,87,11,87,21,87,11,87,17,87,21,87,24,87,18,87,18,87,24,87,371,61,23,324,0,6
WI,35,79,22,41,73,22,9,133,12148,136,8433,136,1104,133,191,136,34,133,3,133,10,133,958,136,320,133,328,136,1084,133,1064,136,20,133,8,133,1470,136,0.69418834376029,136,8433,12148,0.133899332929048,133,1104,8245,0.092835519677094,133,1104,11892,0.225669957686883,133,320,1418,0.651700680272109,136,958,1470,2021/09/10,POINT (-89.732969 44.639954),0,136,9,136,18,136,21,136,30,136,26,136,30,136,10,136,47,136,0,133,1,133,4,133,4,133,5,133,6,133,5,133,5,133,4,133,18,133,3501,4018,1124,684,23,22
WV,19,40,4,21,38,4,13,59,6232,63,4704,63,933,59,89,63,33,59,4,59,1,59,558,63,263,59,270,63,920,59,883,63,13,59,13,59,676,63,0.754813863928113,63,4704,6232,0.202386117136659,59,933,4610,0.154342431761787,59,933,6045,0.4208,59,263,625,0.825443786982248,63,558,676,2021/09/10,POINT (-80.613729 38.642579),0,63,3,63,6,63,13,63,14,63,23,63,18,63,12,63,0,63,0,59,3,59,0,59,2,59,7,59,10,59,5,59,6,59,0,59,14,59,12,0,8,95,0,0
ID,3,36,10,4,35,10,5,48,3454,49,2287,49,687,48,87,49,2,48,0,48,0,48,268,49,166,48,169,49,682,48,690,49,5,48,4,48,301,49,0.662130862767805,49,2287,3454,0.307107733571748,48,687,2237,0.202237268177804,48,687,3397,0.570446735395189,48,166,291,0.890365448504983,49,268,301,2021/09/10,POINT (-114.659366 44.389073),0,49,1,49,7,49,10,49,9,49,24,49,25,49,11,49,0,49,0,48,0,48,0,48,0,48,0,48,2,48,0,48,0,48,0,48,10,48,1001,454,452,146,0,1
IL,10,141,26,11,140,26,19,172,27372,177,19454,177,2260,172,215,177,230,172,3,172,37,172,2138,177,507,172,492,177,2195,172,1984,177,65,172,32,172,3158,177,0.710726289639047,177,19454,27372,0.117573613567787,172,2260,19222,0.083691304991853,172,2260,27004,0.164503569110967,172,507,3082,0.67701076630779,177,2138,3158,2021/09/10,POINT (-89.148632 40.124144),0,177,10,176,23,176,18,176,57,176,45,176,38,176,23,176,1,168,4,172,23,171,22,171,23,171,29,171,47,171,42,171,37,171,3,163,26,172,4650,3353,2006,697,1,23
IN,25,106,3,23,108,3,3,132,17229,134,11737,134,2671,132,245,134,126,132,6,132,9,132,1839,134,768,132,739,134,2610,132,2372,134,61,132,26,132,2256,134,0.681235126821058,134,11737,17229,0.229921666523199,132,2671,11617,0.156345118239288,132,2671,17084,0.347983688264613,132,768,2207,0.815159574468085,134,1839,2256,2021/09/10,POINT (-86.2818 39.919991),1,134,15,134,33,134,30,134,45,134,50,134,28,134,38,134,5,134,4,132,12,132,13,132,11,132,15,132,24,132,25,132,12,132,10,132,25,132,6200,1502,1868,1938,7,82
KS,18,112,7,22,108,7,5,134,8004,137,4915,137,720,134,95,137,49,134,3,134,2,134,630,137,218,134,218,137,704,134,657,137,16,134,12,134,802,137,0.614067966016992,137,4915,8004,0.148178637579749,134,720,4859,0.090805902383655,134,720,7929,0.27948717948718,134,218,780,0.785536159600998,137,630,802,2021/09/10,POINT (-98.38018 38.484729),0,137,6,137,6,137,11,137,11,137,21,137,17,137,18,137,5,137,1,134,3,134,2,134,7,133,9,134,12,134,10,134,5,134,0,134,11,134,2034,1346,907,412,0,35
KY,61,44,2,43,62,2,13,105,10593,107,8479,107,2623,105,632,107,90,105,3,105,15,105,1343,107,677,105,649,107,2548,105,2362,107,75,105,20,105,1492,107,0.80043424903238,107,8479,10593,0.314470686967989,105,2623,8341,0.25216304556816,105,2623,10402,0.468836565096953,105,677,1444,0.900134048257373,107,1343,1492,2021/09/10,POINT (-85.290484 37.526683),8,107,13,107,33,107,59,107,88,107,104,107,77,106,44,107,142,107,3,105,5,105,5,105,17,105,12,105,18,105,16,105,14,105,0,105,39,105,159,132,42,0,70,17
LA,68,150,7,66,152,7,6,218,12585,225,9819,225,1460,222,134,222,16,219,4,219,0,219,1406,225,526,222,531,225,1432,222,1639,225,28,222,76,222,1684,225,0.780214541120381,225,9819,12585,0.150546504433904,222,1460,9698,0.117960733618809,222,1460,12377,0.318787878787879,222,526,1650,0.834916864608076,225,1406,1684,2021/09/10,POINT (-91.840238 30.921314),6,222,8,222,15,222,18,222,28,222,24,222,31,222,10,222,0,222,2,219,0,219,1,219,3,219,5,219,6,219,1,219,0,219,0,219,36,218,13642,3905,1544,3295,328,124
MA,8,74,1,8,74,1,9,82,17291,83,14278,83,603,82,87,83,45,82,1,82,1,82,1017,83,169,82,165,83,591,82,543,83,12,82,10,82,1330,83,0.825747498698745,83,14278,17291,0.04255769637942,82,603,14169,0.035143956172048,82,603,17158,0.129601226993865,82,169,1304,0.764661654135338,83,1017,1330,2021/09/10,POINT (-71.481104 42.151077),0,83,5,83,9,83,12,83,13,83,18,83,15,83,15,83,2,83,0,82,2,82,4,82,1,82,3,82,7,82,7,82,21,82,0,82,11,82,2914,2419,466,167,7,0
MD,2,49,1,3,48,1,7,51,10210,52,8396,52,1031,51,81,52,188,51,1,51,8,51,868,52,219,51,194,52,992,51,805,52,39,51,14,51,1278,52,0.822331047992164,52,8396,10210,0.123547034152187,51,1031,8345,0.10200850895419,51,1031,10107,0.176612903225806,51,219,1240,0.679186228482003,52,868,1278,2021/09/10,POINT (-76.687282 38.946466),0,52,5,52,5,52,7,52,20,52,14,52,17,52,13,52,0,52,2,51,16,51,21,51,15,51,22,51,39,51,33,51,39,51,1,51,14,51,1489,899,1287,538,4,0
