state,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
WI,16,145,13583,148,8870,147,2331,144,487,148,138,145,7,145,6,145,1103,147,456,144,465,147,2304,144,2205,147,27,144,7,144,1655,148,0.6617921360889353,147,8870,13403,0.27088901801278326,144,2331,8605,0.17889485801995395,144,2331,13030,0.289707750952986,144,456,1574,0.6664652567975831,147,1103,1655,2020-11-11
WV,5,59,6255,63,4506,63,480,59,44,63,51,59,0,59,2,59,525,63,122,59,117,63,475,59,404,63,5,59,3,59,653,63,0.7203836930455636,63,4506,6255,0.10904134484325306,59,480,4402,0.07928642220019821,59,480,6054,0.20299500831946754,59,122,601,0.8039816232771823,63,525,653,2020-11-11
MT,37,66,3156,67,2232,67,494,66,101,67,20,66,3,66,0,66,175,67,96,66,96,67,489,66,458,67,5,66,5,66,235,67,0.7072243346007605,67,2232,3156,0.22252252252252253,66,494,2220,0.1580294305822137,66,494,3126,0.4192139737991266,66,96,229,0.7446808510638298,67,175,235,2020-11-11
NC,12,126,23058,130,17115,130,1797,126,180,130,262,126,2,126,25,126,1866,130,406,126,372,130,1749,126,1317,130,48,126,13,126,2478,130,0.7422586520947176,130,17115,23058,0.1061554820415879,126,1797,16928,0.07904807988386926,126,1797,22733,0.1679768307819611,126,406,2417,0.7530266343825666,130,1866,2478,2020-11-11
ND,4,49,2388,50,1766,50,430,49,40,48,1,46,0,49,0,49,68,48,51,49,52,50,427,49,420,50,3,49,1,49,78,48,0.7395309882747069,50,1766,2388,0.24627720504009165,49,430,1746,0.18204911092294665,49,430,2362,0.35135135135135137,47,26,74,0.8717948717948718,48,68,78,2020-11-11
NE,9,97,5041,98,3406,98,884,97,111,98,44,97,1,97,1,97,432,98,228,97,219,98,878,97,855,98,6,97,5,97,555,98,0.6756595913509225,98,3406,5041,0.2629387269482451,97,884,3362,0.17818988107236444,97,884,4961,0.4230055658627087,97,228,539,0.7783783783783784,98,432,555,2020-11-11
NH,12,30,3255,30,2142,30,114,30,12,30,25,30,0,30,3,30,150,30,26,30,18,30,114,30,70,30,0,30,0,30,283,30,0.6580645161290323,30,2142,3255,0.05322128851540616,30,114,2142,0.035023041474654376,30,114,3255,0.09187279151943463,30,26,283,0.5300353356890459,30,150,283,2020-11-11
NJ,71,91,22385,92,16413,92,2175,91,242,92,206,91,1,91,3,91,1465,92,354,91,331,92,2154,91,1912,92,21,91,9,91,2257,92,0.7332142059414787,92,16413,22385,0.13305193613507066,91,2175,16347,0.09780995637900795,91,2175,22237,0.15910112359550563,91,354,2225,0.6490917146654852,92,1465,2257,2020-11-11
NM,12,49,4429,51,2578,50,714,50,125,51,26,50,1,48,3,50,344,50,193,50,183,51,699,50,624,51,15,50,9,50,423,51,0.5849784433855231,50,2578,4407,0.2824184566428003,49,710,2514,0.16523952788706317,50,714,4321,0.48129675810473815,50,193,401,0.8132387706855791,50,344,423,2020-11-11
NV,19,60,8507,62,6661,62,1075,60,103,62,108,60,0,60,1,60,690,62,238,60,249,62,1073,60,956,62,2,60,4,60,853,62,0.7830022334548019,62,6661,8507,0.1646500229744218,60,1075,6529,0.12892780043175822,60,1075,8338,0.3008849557522124,60,238,791,0.8089097303634232,62,690,853,2020-11-11
