state,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
WI,16,141,13391,144,9154,143,2569,140,496,144,140,141,1,141,5,141,1127,143,491,140,489,143,2554,140,2441,143,15,140,4,140,1645,144,0.6844112149532711,143,9154,13375,0.2887490165224233,140,2569,8897,0.19758498692508844,140,2569,13002,0.3139386189258312,140,491,1564,0.6851063829787234,143,1127,1645,2020-11-13
WV,6,55,6060,59,4493,59,480,55,51,59,40,55,0,55,0,55,536,59,137,55,134,59,477,55,445,59,3,55,3,55,653,59,0.7414191419141914,59,4493,6060,0.1091901728844404,55,480,4396,0.0819252432155658,55,480,5859,0.22795341098169716,55,137,601,0.8208269525267994,59,536,653,2020-11-13
AK,9,22,1419,22,894,22,149,22,19,22,6,22,0,22,1,22,94,22,31,22,28,22,145,22,130,22,4,22,2,22,133,22,0.6300211416490487,22,894,1419,0.16666666666666666,22,149,894,0.10500352360817478,22,149,1419,0.23308270676691728,22,31,133,0.706766917293233,22,94,133,2020-11-13
AL,9,103,15272,108,11583,108,1405,103,221,105,108,103,0,103,7,103,1310,108,390,103,370,105,1393,103,1290,105,12,103,8,103,1547,108,0.7584468308014667,108,11583,15272,0.12471152139179834,103,1405,11266,0.09479792186762027,103,1405,14821,0.2584493041749503,103,390,1509,0.8468002585649644,108,1310,1547,2020-11-13
AR,4,90,8792,91,5726,92,950,90,127,92,191,90,1,90,6,90,794,92,249,90,249,92,940,90,800,92,10,90,3,90,1077,92,0.6512738853503185,91,5726,8792,0.1700375872561303,90,950,5587,0.11061946902654868,89,950,8588,0.24245374878286272,90,249,1027,0.7372330547818013,92,794,1077,2020-11-13
AZ,24,99,14387,102,10491,102,1676,99,207,102,244,99,3,99,11,99,1246,102,394,99,343,102,1670,99,1321,102,14,99,1,99,2022,102,0.7291999721971224,102,10491,14387,0.1626552795031056,99,1676,10304,0.11885681866534288,99,1676,14101,0.20143149284253578,99,394,1956,0.6162215628090999,102,1246,2022,2020-11-13
CA,26,374,64048,382,44960,382,5047,372,601,382,541,374,8,372,25,372,5393,380,1209,372,1126,380,4983,372,4302,380,64,370,41,370,7534,380,0.7019735198601049,382,44960,64048,0.11378906073860305,372,5047,44354,0.08013782371901745,372,5047,62979,0.16634562465602643,372,1209,7268,0.715821608707194,380,5393,7534,2020-11-13
CO,27,93,10998,95,7531,95,1498,93,264,95,123,93,4,93,10,93,959,95,389,93,367,95,1462,93,1305,95,36,93,23,93,1328,95,0.6847608656119294,95,7531,10998,0.2013170272812794,93,1498,7441,0.13791198674277297,93,1498,10862,0.29923076923076924,93,389,1300,0.7221385542168675,95,959,1328,2020-11-13
CT,11,30,8263,31,5767,31,997,30,71,31,78,30,2,30,2,30,561,31,175,30,154,31,990,30,786,31,7,30,4,30,1077,31,0.6979305337044657,31,5767,8263,0.17466713384723195,30,997,5708,0.12197210667971617,30,997,8174,0.16587677725118483,30,175,1055,0.520891364902507,31,561,1077,2020-11-13
DC,4,13,3535,14,2797,14,204,13,13,14,79,13,0,13,11,13,250,14,45,13,26,14,182,13,121,14,22,13,4,13,362,14,0.7912305516265913,14,2797,3535,0.07555555555555556,13,204,2700,0.06,13,204,3400,0.1323529411764706,13,45,340,0.6906077348066298,14,250,362,2020-11-13
DE,1,10,2669,11,1819,11,198,10,15,11,16,10,4,10,9,10,148,11,33,10,33,11,197,10,177,11,1,10,1,10,180,11,0.6815286624203821,11,1819,2669,0.11012235817575083,10,198,1798,0.07508532423208192,10,198,2637,0.1896551724137931,10,33,174,0.8222222222222222,11,148,180,2020-11-13
FL,61,226,52930,232,40622,232,4083,226,582,232,358,226,10,226,14,226,4684,232,859,226,784,232,4046,226,3482,232,37,226,24,226,6068,232,0.7674664651426413,232,40622,52930,0.1019450200993733,226,4083,40051,0.07871905606539678,226,4083,51868,0.1471142318890221,226,859,5839,0.7719182597231378,232,4684,6068,2020-11-13
GA,13,155,20965,158,16892,158,2117,155,403,158,150,154,5,155,47,155,2194,158,557,155,511,158,2066,155,1739,158,51,155,10,155,2646,158,0.8057238254233245,158,16892,20965,0.12678165049706552,155,2117,16698,0.10242391988001355,155,2117,20669,0.21497491316094172,155,557,2591,0.8291761148904006,158,2194,2646,2020-11-13
HI,0,23,2480,22,1664,23,84,23,7,23,10,23,0,23,0,23,133,23,20,23,18,23,84,23,78,23,0,23,0,23,227,23,0.6669354838709678,22,1654,2480,0.05048076923076923,23,84,1664,0.03387096774193549,22,84,2480,0.0881057268722467,23,20,227,0.5859030837004405,23,133,227,2020-11-13
IA,8,120,8197,122,5521,122,1550,120,237,122,42,120,2,120,5,120,574,122,297,120,289,122,1536,120,1504,122,14,120,9,120,706,122,0.6735390996706112,122,5521,8197,0.2849264705882353,120,1550,5440,0.19152353886074386,120,1550,8093,0.43231441048034935,120,297,687,0.8130311614730878,122,574,706,2020-11-13
ID,6,47,3846,48,2100,48,404,47,54,48,7,47,0,47,0,47,213,48,88,47,88,48,401,47,396,48,3,47,3,47,311,48,0.5460218408736349,48,2100,3846,0.19765166340508805,47,404,2044,0.10721868365180467,47,404,3768,0.29431438127090304,47,88,299,0.684887459807074,48,213,311,2020-11-13
IL,67,186,30774,192,20964,192,6002,187,665,192,562,187,4,187,32,187,2496,192,1162,187,1048,192,5940,187,5072,192,62,187,30,187,3844,192,0.6812244102164164,192,20964,30774,0.2894343444085451,187,6002,20737,0.19783769529962422,187,6002,30338,0.3083864118895966,187,1162,3768,0.6493236212278877,192,2496,3844,2020-11-13
IN,295,137,17562,139,11447,139,2981,137,342,139,253,137,2,137,8,137,1652,139,693,137,614,139,2950,137,2450,139,31,137,7,137,2206,138,0.6518050335952625,139,11447,17562,0.2634555899248785,137,2981,11315,0.17144007361398667,137,2981,17388,0.32187645146307475,136,693,2153,0.7488667271078876,138,1652,2206,2020-11-13
KS,16,136,8159,139,5045,139,1116,136,182,139,87,136,1,136,4,136,670,139,270,136,251,139,1109,136,963,139,7,136,3,136,846,139,0.618335580340728,139,5045,8159,0.22315536892621476,136,1116,5001,0.13859910581222057,136,1116,8052,0.32886723507917176,136,270,821,0.7919621749408984,139,670,846,2020-11-13
KY,10,104,12733,106,9035,106,1563,104,319,106,113,104,2,104,5,104,1209,106,345,104,367,106,1551,104,1434,106,12,104,5,104,1599,106,0.7095735490457865,106,9035,12733,0.17524386141944165,104,1563,8919,0.12451206882816857,104,1563,12553,0.22186495176848875,104,345,1555,0.7560975609756098,106,1209,1599,2020-11-13
LA,10,211,14891,219,9854,219,873,219,140,213,32,213,1,212,1,212,1272,220,253,219,244,219,864,219,838,219,9,219,5,219,1808,220,0.6617419918071318,219,9854,14891,0.0885934645829105,219,873,9854,0.05862601571418978,219,873,14891,0.13993362831858408,219,253,1808,0.7035398230088495,220,1272,1808,2020-11-13
MA,7,79,19743,80,13620,80,897,79,145,80,183,79,2,79,3,79,1022,80,197,79,170,80,890,79,723,80,7,79,4,79,1958,80,0.6898647621941955,80,13620,19743,0.06625794061161176,79,897,13538,0.045734971702442256,79,897,19613,0.10196687370600414,79,197,1932,0.5219611848825332,80,1022,1958,2020-11-13
MD,5,52,11051,53,8537,53,1471,52,185,53,301,52,3,52,6,52,1008,53,305,52,253,53,1460,52,1035,53,12,52,6,52,1321,52,0.7725092751787168,53,8537,11051,0.17352837088592662,52,1471,8477,0.1344484050818024,52,1471,10941,0.23790951638065522,51,305,1282,0.7592732778198334,52,1003,1321,2020-11-13
ME,0,36,3058,37,2089,37,100,36,16,37,38,36,0,36,2,36,235,37,40,36,39,37,99,36,81,37,1,36,1,36,324,37,0.683126226291694,37,2089,3058,0.048355899419729204,36,100,2068,0.03306878306878307,36,100,3024,0.12738853503184713,36,40,314,0.7253086419753086,37,235,324,2020-11-13
MI,24,157,23045,160,17960,160,3694,157,409,160,197,157,0,157,4,156,2105,160,754,157,713,160,3674,157,3276,160,20,157,12,157,2541,160,0.7793447602516815,160,17960,23045,0.20648406931246507,157,3694,17890,0.1611552220574121,157,3694,22922,0.29968203497615264,157,754,2516,0.8284140102321921,160,2105,2541,2020-11-13
MN,77,130,10908,131,7922,131,1880,130,213,131,95,130,2,130,4,130,787,131,369,130,361,131,1845,130,1707,131,35,130,30,130,1016,131,0.7262559589292262,131,7922,10908,0.2453027139874739,130,1880,7664,0.17904761904761904,130,1880,10500,0.38278008298755184,130,369,964,0.7746062992125984,131,787,1016,2020-11-13
MO,15,124,18704,128,12346,128,2682,124,365,128,233,124,5,124,25,124,1670,128,670,124,643,128,2626,124,2386,128,56,124,37,124,2113,128,0.6600727117194183,128,12346,18704,0.22095897182402371,124,2682,12138,0.14555519374796483,124,2682,18426,0.3276283618581907,124,670,2045,0.7903454803596782,128,1670,2113,2020-11-13
MS,4,99,8430,101,5471,101,866,99,114,101,45,99,1,99,3,98,678,101,231,99,183,101,854,99,739,101,12,99,4,99,875,101,0.6489916963226572,101,5471,8430,0.1595725078312143,99,866,5427,0.1037125748502994,99,866,8350,0.27017543859649124,99,231,855,0.7748571428571429,101,678,875,2020-11-13
MT,36,66,3138,67,2191,67,502,66,65,67,23,66,1,66,8,66,170,67,91,66,91,67,498,66,467,67,4,66,4,66,235,67,0.6982154238368388,67,2191,3138,0.23059255856683508,66,502,2177,0.1615186615186615,66,502,3108,0.39737991266375544,66,91,229,0.723404255319149,67,170,235,2020-11-13
NC,9,117,22727,121,16799,121,1903,117,201,121,259,117,1,117,14,117,1900,121,426,117,389,121,1868,117,1441,121,35,117,14,117,2466,121,0.7391648699784398,121,16799,22727,0.11448682469016966,117,1903,16622,0.08495535714285714,117,1903,22400,0.17713097713097714,117,426,2405,0.7704785077047851,121,1900,2466,2020-11-13
ND,5,46,1995,47,1561,47,412,46,51,45,1,43,0,46,1,46,70,45,56,46,56,47,408,46,389,47,4,46,2,46,88,45,0.7824561403508772,47,1561,1995,0.2675324675324675,46,412,1540,0.20924327069578466,46,412,1969,0.2857142857142857,44,24,84,0.7954545454545454,45,70,88,2020-11-13
NE,10,98,4858,98,3345,98,1019,98,134,98,62,98,4,98,6,98,435,98,239,98,223,98,1003,98,937,98,16,98,8,98,543,98,0.6885549608892548,98,3345,4858,0.3046337817638266,98,1019,3345,0.20975710168793743,98,1019,4858,0.44014732965009207,98,239,543,0.8011049723756906,98,435,543,2020-11-13
NH,12,29,3108,29,2145,29,123,29,14,29,21,29,0,29,1,29,171,29,30,29,25,29,123,29,85,29,0,29,0,29,282,29,0.6901544401544402,29,2145,3108,0.057342657342657345,29,123,2145,0.03957528957528957,29,123,3108,0.10638297872340426,29,30,282,0.6063829787234043,29,171,282,2020-11-13
NJ,72,78,20056,79,14426,79,2387,78,289,79,192,78,0,78,3,78,1375,79,398,78,369,79,2366,78,2142,79,21,78,10,78,2125,79,0.7192859992022338,79,14426,20056,0.16645746164574615,78,2387,14340,0.11990154711673699,78,2387,19908,0.19015766841853798,78,398,2093,0.6470588235294118,79,1375,2125,2020-11-13
NM,9,48,4218,50,3004,50,715,49,115,50,23,49,0,49,6,49,380,50,207,49,196,50,693,49,655,50,22,49,10,49,419,50,0.712185870080607,50,3004,4218,0.24270196877121522,49,715,2946,0.17392361955728533,49,715,4111,0.5214105793450882,49,207,397,0.9069212410501193,50,380,419,2020-11-13
NV,22,59,8569,59,6718,59,1279,59,138,59,113,59,1,59,7,59,651,59,260,59,224,59,1271,59,1160,59,8,59,9,59,868,59,0.7839887968257673,59,6718,8569,0.19038404286990177,59,1279,6718,0.1492589567043996,59,1279,8569,0.2995391705069124,59,260,868,0.75,59,651,868,2020-11-13
NY,80,168,55367,177,40366,177,3533,168,437,177,362,168,13,168,29,168,4123,177,578,168,471,177,3465,168,2554,177,79,168,32,168,7061,176,0.729062437914281,177,40366,55367,0.08809595052862558,168,3533,40104,0.0645874846894938,168,3533,54701,0.08347775852108608,167,578,6924,0.5839116272482651,176,4123,7061,2020-11-13
OH,61,199,31708,203,22232,203,4097,200,643,203,484,200,7,200,71,200,3045,203,943,200,876,203,4016,200,3625,203,81,200,26,200,4029,203,0.7011479752743787,203,22232,31708,0.18565343483777416,200,4097,22068,0.13031584974076785,200,4097,31439,0.23711340206185566,200,943,3977,0.7557706626954579,203,3045,4029,2020-11-13
OK,33,146,11195,148,7648,148,1391,146,304,148,83,146,5,146,14,146,927,148,376,146,390,148,1362,146,1322,148,29,146,28,146,1199,148,0.6831621259490844,148,7648,11195,0.18721399730820995,146,1391,7430,0.12804934180244867,146,1391,10863,0.33244916003536695,146,376,1131,0.7731442869057548,148,927,1199,2020-11-13
OR,6,61,6708,63,4807,63,477,61,45,63,66,61,0,61,32,61,520,63,104,61,79,63,464,61,360,63,13,61,3,61,782,63,0.7166070363744782,63,4807,6708,0.10116648992576882,61,477,4715,0.07296925195043598,61,477,6537,0.13793103448275862,61,104,754,0.6649616368286445,63,520,782,2020-11-13
PA,30,190,33357,196,25315,196,3815,190,490,196,532,190,4,190,29,190,3099,196,873,190,807,196,3749,190,3242,196,66,190,38,190,3827,196,0.7589111730671223,196,25315,33357,0.1518528838116467,190,3815,25123,0.11559555191952246,190,3815,33003,0.23480365788058097,190,873,3718,0.8097726678860726,196,3099,3827,2020-11-13
WY,0,27,1538,29,740,29,186,27,25,29,34,27,1,27,0,27,63,29,30,27,30,29,184,27,179,29,2,27,2,27,124,29,0.4811443433029909,29,740,1538,0.256198347107438,27,186,726,0.12474849094567404,27,186,1491,0.2564102564102564,27,30,117,0.5080645161290323,29,63,124,2020-11-13
