state,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
VT,0,16,662,15,340,15,3,17,35,13,1,15,58,13,0.513595166163142,15,340,662,0.0058823529411764705,15,2,340,0.0030211480362537764,15,2,662,0.0,13,0,58,0.603448275862069,13,35,58,2020-09-02
WA,4,92,9977,81,8729,96,394,96,858,78,97,80,914,66,0.6020847950285657,81,6007,9977,0.04547553093259465,95,394,8664,0.03036723163841808,80,301,9912,0.07658643326039387,61,70,914,0.6815144766146993,60,612,898,2020-09-02
WI,2,135,12557,132,7416,133,509,135,820,127,132,130,1470,127,0.5877199968145258,132,7380,12557,0.06620819848975189,133,491,7416,0.0389424225531576,132,489,12557,0.08979591836734693,127,132,1470,0.5551020408163265,126,816,1470,2020-09-02
AK,0,16,1166,18,886,24,40,24,58,13,14,21,46,8,0.4391080617495712,18,512,1166,0.045146726862302484,24,40,886,0.029159519725557463,18,34,1166,0.045454545454545456,6,2,44,0.5869565217391305,8,27,46,2020-09-02
AL,15,106,15161,111,10007,111,1010,106,1228,111,358,106,1459,111,0.6600488094452872,111,10007,15161,0.103345342254246,105,1004,9715,0.06835511982570806,105,1004,14688,0.2512280701754386,105,358,1425,0.8416723783413297,111,1228,1459,2020-09-02
AR,1,95,8765,96,5438,98,599,98,626,80,250,79,972,75,0.6177980604677695,96,5415,8765,0.11015079073188672,98,599,5438,0.06833998859098687,96,599,8765,0.24897119341563786,72,242,972,0.7077464788732394,71,603,852,2020-09-02
AZ,2,80,11893,80,9305,89,704,91,838,64,175,70,1372,55,0.6480282519128899,79,7707,11893,0.07447608812466416,89,693,9305,0.05129067518708484,80,610,11893,0.09475218658892129,53,130,1372,0.5065597667638484,55,695,1372,2020-09-02
CA,33,385,62716,387,44029,388,4361,387,5047,367,1210,368,7179,366,0.6999649212322214,387,43899,62716,0.09925349355910601,387,4361,43938,0.06964784795975405,386,4361,62615,0.16854715141384594,363,1210,7179,0.7030227051121326,365,5047,7179,2020-09-02
CO,6,93,10824,95,6860,97,277,97,695,77,89,77,1176,71,0.6318366592756837,95,6839,10824,0.04037900874635569,97,277,6860,0.025498891352549888,95,276,10824,0.07632933104631218,68,89,1166,0.609347442680776,69,691,1134,2020-09-02
CT,5,30,8064,30,5879,30,195,31,506,28,23,29,1040,29,0.7290426587301587,30,5879,8064,0.03316890627657765,30,195,5879,0.02418154761904762,30,195,8064,0.022115384615384617,28,23,1040,0.48653846153846153,28,506,1040,2020-09-02
DC,7,12,3119,12,2316,12,132,13,225,11,27,10,342,11,0.7425456877204232,12,2316,3119,0.05699481865284974,12,132,2316,0.04232125681308112,12,132,3119,0.07894736842105263,10,27,342,0.6578947368421053,11,225,342,2020-09-02
DE,0,11,2492,11,1857,12,91,12,104,7,13,7,142,6,0.7090690208667737,11,1767,2492,0.04900376952073236,12,91,1857,0.03651685393258427,11,91,2492,0.09154929577464789,6,13,142,0.7323943661971831,6,104,142,2020-09-02
FL,99,246,75149,254,41635,254,4471,256,4325,241,990,252,5582,241,0.56440105655856,253,41453,73446,0.10486369640927104,254,4366,41635,0.05940198805040653,254,4464,75149,0.16780575539568346,239,933,5560,0.7748118953780008,241,4325,5582,2020-09-02
GA,19,122,15596,125,12407,127,2605,147,1255,95,585,107,1429,87,0.7786568892319568,124,12105,15546,0.17417586846135247,127,2161,12407,0.13606052834060015,125,2122,15596,0.3135095447870778,80,427,1362,0.8425472358292512,86,1204,1429,2020-09-02
HI,1,17,1747,16,1784,25,251,23,109,15,41,15,93,13,0.6977676016027475,16,1219,1747,0.15137956748695003,19,203,1341,0.1001717229536348,16,175,1747,0.2903225806451613,13,27,93,0.6129032258064516,13,57,93,2020-09-02
IA,1,122,8246,122,4723,122,334,122,457,122,91,121,695,121,0.5727625515401407,122,4723,8246,0.07071776413296633,122,334,4723,0.04050448702401164,122,334,8246,0.13093525179856116,120,91,695,0.6575539568345323,121,457,695,2020-09-02
MS,3,91,7695,95,4886,99,691,100,534,69,182,69,569,65,0.6228719948018193,95,4793,7695,0.14121981170691772,99,690,4886,0.08953866146848603,95,689,7695,0.3003533568904594,62,170,566,0.9050966608084359,65,515,569,2020-09-02
MT,282,50,2179,51,1785,56,128,61,118,30,27,30,153,24,0.7498852684717761,51,1634,2179,0.07170868347338935,56,128,1785,0.05736576411197797,51,125,2179,0.1568627450980392,20,24,153,0.6601307189542484,24,101,153,2020-09-02
NC,9,117,20858,117,8083,119,1103,119,1673,109,308,110,2199,107,0.37501198580880235,117,7822,20858,0.13647642679900746,118,1100,8060,0.052795776337892966,116,1100,20835,0.13729977116704806,106,300,2185,0.757162346521146,107,1665,2199,2020-09-02
ND,1,47,2078,47,1400,47,83,47,48,44,22,47,90,44,0.6737247353224254,47,1400,2078,0.05928571428571429,47,83,1400,0.03994225216554379,47,83,2078,0.1111111111111111,44,10,90,0.5333333333333333,44,48,90,2020-09-02
NE,1,80,4722,86,2688,86,215,87,309,63,73,60,613,64,0.5692503176620076,86,2688,4722,0.07589285714285714,85,204,2688,0.043256997455470736,85,204,4716,0.11967213114754098,58,73,610,0.5049019607843137,61,309,612,2020-09-02
NH,1,30,3241,30,2130,30,29,30,148,28,6,29,279,29,0.6572045664918235,30,2130,3241,0.013615023474178404,30,29,2130,0.008947855600123419,30,29,3241,0.021505376344086023,29,6,279,0.5304659498207885,28,148,279,2020-09-02
NJ,41,69,19187,73,15060,76,734,77,1126,70,68,72,2074,69,0.7358628237869391,73,14119,19187,0.04853917662682603,76,731,15060,0.030333037994475426,73,582,19187,0.03278688524590164,69,68,2074,0.5380906460945034,69,1116,2074,2020-09-02
NM,1,48,3469,48,2176,47,105,47,263,44,28,44,380,44,0.6327420761849375,47,2176,3439,0.04945316214931051,46,104,2103,0.03134328358208955,47,105,3350,0.07506702412868632,43,28,373,0.6835106382978723,43,257,376,2020-09-02
NV,20,61,8508,61,5992,62,717,62,598,59,183,58,964,59,0.6964033850493653,61,5925,8508,0.11965954606141523,62,717,5992,0.07910202162670428,61,673,8508,0.18983402489626555,58,183,964,0.6203319502074689,59,598,964,2020-09-02
NY,22,139,45273,151,34873,153,1554,164,2915,129,249,131,5009,120,0.6786228592950351,150,30631,45137,0.0422103059673673,153,1472,34873,0.029046009762993395,151,1315,45273,0.03797738425432046,110,178,4687,0.5668866226754649,117,2835,5001,2020-09-02
OH,16,90,30240,208,20434,208,1148,208,2579,192,334,189,3874,192,0.6757275132275132,208,20434,30240,0.056335263519481794,207,1148,20378,0.038099030930572146,207,1148,30132,0.08648368720870016,188,334,3862,0.6657201858544141,192,2579,3874,2020-09-02
OK,13,127,9182,125,5471,125,521,128,721,122,206,124,1106,121,0.5958396863428447,125,5471,9182,0.08005849022116615,125,438,5471,0.047702025702461334,125,438,9182,0.17992766726943943,121,199,1106,0.6518987341772152,121,721,1106,2020-09-02
OR,0,52,6650,59,4457,60,182,62,464,50,42,51,704,47,0.6684210526315789,59,4445,6650,0.040834642135965896,60,182,4457,0.02736842105263158,59,182,6650,0.05965909090909091,46,42,704,0.6552217453505007,46,458,699,2020-09-02
ID,1,48,3963,48,1975,48,158,50,187,47,54,48,297,45,0.4860335195530726,47,1914,3938,0.07848101265822785,48,155,1975,0.03986878627302549,48,158,3963,0.17845117845117844,45,53,297,0.6161616161616161,44,183,297,2020-09-02
IL,12,176,29495,182,18678,187,1736,191,1844,145,366,151,3319,131,0.6176801609767744,181,18111,29321,0.0907484741407003,187,1695,18678,0.056416341752839466,182,1664,29495,0.10292785994566858,129,341,3313,0.5259957433870477,128,1730,3289,2020-09-02
IN,0,139,17046,140,10262,140,749,140,1382,133,176,133,2342,133,0.6020180687551332,140,10262,17046,0.07298772169167804,140,749,10262,0.043939927255661156,140,749,17046,0.07514944491887275,133,176,2342,0.5900939368061486,133,1382,2342,2020-09-02
KS,5,127,7753,129,4605,135,289,137,514,86,83,94,669,79,0.578981385729059,128,4479,7736,0.05959684487291849,134,272,4564,0.0333246887966805,128,257,7712,0.1047040971168437,73,69,659,0.7793427230046949,76,498,639,2020-09-02
KY,34,109,13131,109,8337,110,579,110,1005,97,535,101,1512,103,0.6312542837559972,109,8289,13131,0.06944944224541202,110,579,8337,0.044094128398446425,109,579,13131,0.3585790884718499,100,535,1492,0.6646825396825397,97,1005,1512,2020-09-02
LA,10,183,13773,174,9123,177,797,209,1224,91,327,205,1756,87,0.6414724460901764,174,8835,13773,0.08730773486776586,173,789,9037,0.05522552255225523,170,753,13635,0.16820276497695852,83,292,1736,0.6623006833712984,87,1163,1756,2020-09-02
MA,4,79,17922,80,12413,80,359,80,892,76,49,75,1853,76,0.6926124316482536,80,12413,17922,0.02892129219366793,80,359,12413,0.020031246512665996,80,359,17922,0.02644360496492175,75,49,1853,0.4813815434430653,76,892,1853,2020-09-02
MD,2,39,10842,53,8539,54,753,52,726,48,133,50,1064,48,0.782051282051282,53,8479,10842,0.08858823529411765,52,753,8500,0.06941612604263207,51,749,10790,0.12406015037593984,48,132,1064,0.6824196597353497,47,722,1058,2020-09-02
ME,0,32,2988,33,1926,34,38,34,195,31,10,30,288,29,0.641566265060241,33,1917,2988,0.01973001038421599,34,38,1926,0.012382864792503346,33,37,2988,0.028070175438596492,28,8,285,0.6770833333333334,29,195,288,2020-09-02
MI,2,124,23299,145,16720,146,635,146,1652,125,146,143,2242,123,0.7101592343019014,145,16546,23299,0.03797846889952153,146,635,16720,0.027254388600369113,145,635,23299,0.05396966993755575,123,121,2242,0.7368421052631579,123,1652,2242,2020-09-02
MN,4,129,11323,129,7307,129,432,129,692,129,104,129,982,129,0.645323677470635,129,7307,11323,0.05912139044751608,129,432,7307,0.038152433100768345,129,432,11323,0.10590631364562118,129,104,982,0.7046843177189409,129,692,982,2020-09-02
MO,11,122,19069,125,12291,129,948,151,1412,123,299,122,2208,120,0.6146101001625676,125,11720,19069,0.06948173460255472,129,854,12291,0.04467984687188631,125,852,19069,0.13179347826086957,114,291,2208,0.6384051329055912,117,1393,2182,2020-09-02
WV,3,60,6657,60,4397,60,217,60,466,60,62,60,616,60,0.6605077362175154,60,4397,6657,0.049351830793722996,60,217,4397,0.03259726603575184,60,217,6657,0.10064935064935066,60,62,616,0.7564935064935064,60,466,616,2020-09-02
WY,0,26,1502,26,555,26,39,26,42,26,6,26,114,26,0.36950732356857524,26,555,1502,0.07027027027027027,26,39,555,0.02596537949400799,26,39,1502,0.05263157894736842,26,6,114,0.3684210526315789,26,42,114,2020-09-02
