state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start,geocoded_state,previous_day_admission_adult_covid_confirmed_18-19,previous_day_admission_adult_covid_confirmed_18-19_coverage,previous_day_admission_adult_covid_confirmed_20-29,previous_day_admission_adult_covid_confirmed_20-29_coverage,previous_day_admission_adult_covid_confirmed_30-39,previous_day_admission_adult_covid_confirmed_30-39_coverage,previous_day_admission_adult_covid_confirmed_40-49,previous_day_admission_adult_covid_confirmed_40-49_coverage,previous_day_admission_adult_covid_confirmed_50-59,previous_day_admission_adult_covid_confirmed_50-59_coverage,previous_day_admission_adult_covid_confirmed_60-69,previous_day_admission_adult_covid_confirmed_60-69_coverage,previous_day_admission_adult_covid_confirmed_70-79,previous_day_admission_adult_covid_confirmed_70-79_coverage,previous_day_admission_adult_covid_confirmed_80+,previous_day_admission_adult_covid_confirmed_80+_coverage,previous_day_admission_adult_covid_confirmed_unknown,previous_day_admission_adult_covid_confirmed_unknown_coverage,previous_day_admission_adult_covid_suspected_18-19,previous_day_admission_adult_covid_suspected_18-19_coverage,previous_day_admission_adult_covid_suspected_20-29,previous_day_admission_adult_covid_suspected_20-29_coverage,previous_day_admission_adult_covid_suspected_30-39,previous_day_admission_adult_covid_suspected_30-39_coverage,previous_day_admission_adult_covid_suspected_40-49,previous_day_admission_adult_covid_suspected_40-49_coverage,previous_day_admission_adult_covid_suspected_50-59,previous_day_admission_adult_covid_suspected_50-59_coverage,previous_day_admission_adult_covid_suspected_60_69,previous_day_admission_adult_covid_suspected_60-69_coverage,previous_day_admission_adult_covid_suspected_70-79,previous_day_admission_adult_covid_suspected_70-79_coverage,previous_day_admission_adult_covid_suspected_80,previous_day_admission_adult_covid_suspected_80+_coverage,previous_day_admission_adult_covid_suspected_unknown,previous_day_admission_adult_covid_suspected_unknown_coverage,deaths_covid,deaths_covid_coverage,on_hand_supply_therapeutic_a_casirivimab_imdevimab_courses,on_hand_supply_therapeutic_b_bamlanivimab_courses,on_hand_supply_therapeutic_c_bamlanivimab_etesevimab_courses,previous_week_therapeutic_a_casirivimab_imdevimab_courses_used,previous_week_therapeutic_b_bamlanivimab_courses_used,previous_week_therapeutic_c_bamlanivimab_etesevimab_courses_used
IN,24,107,3,24,107,3,3,132,17234,134,12066,134,2496,132,314,134,141,132,8,132,6,132,1843,134,739,132,724,134,2462,132,2281,134,34,132,25,132,2268,134,0.700127654636184,134,12066,17234,0.208940231039679,132,2496,11946,0.14605886827784,132,2496,17089,0.333032897701667,132,739,2219,0.812610229276896,134,1843,2268,2021/09/10,,1,134,21,134,28,134,32,134,60,134,65,134,52,134,53,134,2,134,1,132,4,132,7,132,18,132,16,132,21,132,32,132,19,132,23,132,42,132,6239,1502,1852,2035,2,82
KS,19,114,8,23,110,8,6,138,8147,141,5150,141,732,138,103,141,69,138,4,138,6,138,639,141,210,138,205,141,712,138,643,141,20,138,13,138,801,141,0.632134528047134,141,5150,8147,0.143698468786808,138,732,5094,0.090683845391477,138,732,8072,0.269576379974326,138,210,779,0.797752808988764,141,639,801,2021/09/10,,1,141,6,140,5,140,17,140,21,140,20,140,10,140,16,140,7,141,0,138,5,137,10,137,4,136,11,137,12,137,13,137,13,137,1,138,13,138,2074,1367,951,435,0,38
KY,63,42,2,47,58,2,8,105,10641,107,8526,107,2578,105,599,107,114,105,8,105,16,105,1423,107,627,105,641,107,2520,105,2352,107,58,105,26,105,1553,107,0.801240484916831,107,8526,10641,0.307343824511206,105,2578,8388,0.246698564593301,105,2578,10450,0.416611295681063,105,627,1505,0.916291049581455,107,1423,1553,2021/09/10,,0,107,9,107,33,107,57,107,89,107,96,107,64,107,46,107,144,107,1,105,7,105,22,105,8,105,24,105,25,105,19,105,28,105,0,105,42,105,197,183,82,2,71,19
LA,68,150,7,67,151,7,8,218,12807,225,10058,225,1396,225,144,220,16,220,7,220,0,220,1462,225,520,225,518,225,1374,225,1565,225,22,225,70,225,1693,225,0.785351760755837,225,10058,12807,0.138794989063432,225,1396,10058,0.109002889045053,225,1396,12807,0.307147076196102,225,520,1693,0.863555818074424,225,1462,1693,2021/09/10,,7,220,7,220,18,220,14,220,29,220,29,220,28,220,19,220,0,220,2,220,3,220,2,220,0,220,2,220,3,220,4,220,2,220,0,220,28,218,13923,3893,1558,3374,300,124
MA,7,75,1,7,75,1,7,82,17208,83,14588,83,617,82,67,83,52,82,0,82,4,82,1078,83,173,82,170,83,606,82,546,83,11,82,9,82,1347,83,0.847745234774524,83,14588,17208,0.042613440154707,82,617,14479,0.036134699853587,82,617,17075,0.130961392884179,82,173,1321,0.800296956198961,83,1078,1347,2021/09/10,,0,83,5,83,8,83,5,83,10,83,12,83,17,83,10,83,0,83,0,82,2,82,2,82,4,82,6,82,9,82,17,82,12,82,0,82,3,82,2930,2419,466,167,7,0
MD,4,48,1,4,48,1,7,52,10284,53,8567,53,1002,52,107,53,211,52,3,52,8,52,890,53,235,52,214,53,971,52,791,53,31,52,15,52,1283,53,0.833041618047452,53,8567,10284,0.117660873649601,52,1002,8516,0.098418622925056,52,1002,10181,0.188755020080321,52,235,1245,0.693686671862822,53,890,1283,2021/09/10,,0,53,5,53,10,53,11,53,28,53,16,53,15,53,22,53,0,53,0,52,14,52,18,52,19,52,34,52,40,52,46,52,35,52,5,52,9,52,1421,899,1287,584,4,0
ME,2,24,8,1,25,8,8,33,2942,34,2180,34,196,33,16,34,12,33,1,33,4,33,253,34,74,33,70,34,192,33,185,34,4,33,1,33,322,34,0.740992522093814,34,2180,2942,0.09146056929538,33,196,2143,0.067516362383741,33,196,2903,0.237179487179487,33,74,312,0.785714285714286,34,253,322,2021/09/10,,0,34,2,34,3,34,1,34,3,34,1,34,4,34,2,34,0,34,0,33,0,33,1,33,1,33,2,33,4,33,3,33,1,33,0,33,3,33,169,112,126,32,0,60
MI,4,151,4,6,149,4,17,155,22500,159,18290,159,1525,155,169,159,25,155,7,155,3,155,2010,159,412,155,406,159,1499,155,1422,159,26,155,18,155,2503,159,0.812888888888889,159,18290,22500,0.083901848591549,155,1525,18176,0.068416330192912,155,1525,22290,0.167275680064961,155,412,2463,0.803036356372353,159,2010,2503,2021/09/10,,0,159,8,159,13,159,15,159,33,159,37,159,31,159,26,159,6,159,0,155,3,155,4,155,1,155,2,155,5,155,4,155,5,155,1,155,19,155,3984,3356,3515,1027,1,163
MN,15,90,26,15,90,26,21,130,9939,131,7968,131,816,130,80,131,37,130,4,130,4,130,767,131,224,130,211,131,796,130,715,131,20,130,17,130,966,131,0.801690310896468,131,7968,9939,0.104055087987758,130,816,7842,0.083606557377049,130,816,9760,0.240860215053763,130,224,930,0.793995859213251,131,767,966,2021/09/10,,3,131,7,131,5,131,8,131,10,131,15,131,15,131,16,131,1,131,2,130,4,130,4,130,6,130,4,130,9,130,1,130,7,130,0,130,4,130,1885,1306,659,689,0,7
MO,30,71,24,33,68,24,6,121,15669,125,12575,125,1930,121,202,125,154,121,3,121,29,121,1577,125,525,121,510,125,1857,121,1679,125,73,121,47,121,1871,125,0.802540047227009,125,12575,15669,0.156010023441921,121,1930,12371,0.125406107862248,121,1930,15390,0.291991101223582,121,525,1798,0.842864778193479,125,1577,1871,2021/09/10,,1,125,10,125,20,125,25,125,29,125,41,125,49,125,27,125,0,125,6,121,13,121,8,121,11,121,28,121,29,121,33,121,26,121,0,121,31,121,3200,2078,418,523,0,3
MS,9,89,2,10,88,2,11,98,8241,100,5717,100,1225,98,93,100,28,98,4,98,9,98,824,100,405,98,407,100,1197,98,1169,100,28,98,16,98,876,100,0.693726489503701,100,5717,8241,0.216507599858607,98,1225,5658,0.150325193275248,98,1225,8149,0.476470588235294,98,405,850,0.940639269406393,100,824,876,2021/09/10,,1,100,5,100,8,100,14,100,15,100,16,100,15,100,16,100,3,100,2,98,1,98,6,98,4,98,4,98,6,98,2,98,2,98,1,98,20,98,11071,844,1046,4118,0,117
MT,7,56,1,8,55,1,0,63,2772,64,2011,64,397,63,91,64,27,63,2,63,1,63,199,64,104,63,104,64,379,63,375,64,18,63,2,63,243,64,0.725468975468976,64,2011,2772,0.198599299649825,63,397,1999,0.144732045205979,63,397,2743,0.438818565400844,63,104,237,0.818930041152263,64,199,243,2021/09/10,,2,64,5,64,15,64,13,64,7,64,20,64,17,64,11,64,1,64,0,63,2,63,2,63,7,63,3,63,7,63,4,63,2,63,0,63,6,63,467,1010,261,295,0,10
NC,12,96,12,12,96,12,26,116,21986,120,17126,120,3485,116,328,120,140,116,7,116,10,116,2145,120,977,116,986,120,3428,116,3360,120,57,116,41,116,2452,120,0.778950241062494,120,17126,21986,0.206200816519733,116,3485,16901,0.160628687315634,116,3485,21696,0.408615641990799,116,977,2391,0.874796084828711,120,2145,2452,2021/09/10,,2,120,20,120,42,120,43,120,75,120,72,120,46,120,28,120,0,120,3,116,13,116,15,116,15,116,21,116,27,116,20,116,26,116,0,116,52,116,538,672,161,362,0,0
ND,12,34,1,11,35,1,54,46,1994,47,1546,47,210,46,23,47,13,46,0,46,1,46,152,47,50,46,49,47,207,46,181,47,3,46,0,46,201,47,0.775325977933801,47,1546,1994,0.137885751805647,46,210,1523,0.106707317073171,46,210,1968,0.253807106598985,46,50,197,0.756218905472637,47,152,201,2021/09/10,,0,47,3,47,4,47,2,47,3,47,2,47,9,47,1,47,0,47,1,46,2,46,3,46,1,46,2,46,4,46,2,46,1,46,0,46,0,46,1053,236,245,296,11,14
NE,18,79,0,22,75,0,3,97,3934,97,2859,97,448,97,55,97,28,97,3,97,1,97,387,97,128,97,126,97,434,97,402,97,14,97,13,97,469,97,0.726741230299949,97,2859,3934,0.156698146204967,97,448,2859,0.113879003558719,97,448,3934,0.272921108742004,97,128,469,0.825159914712154,97,387,469,2021/09/10,,0,97,5,97,4,97,7,97,7,97,10,97,13,97,9,97,0,97,0,97,3,97,2,97,4,97,1,97,8,97,4,97,6,97,0,97,5,97,1432,778,686,429,19,27
NH,5,20,4,6,19,4,0,29,2856,29,2212,29,136,29,16,29,8,29,0,29,0,29,187,29,35,29,34,29,136,29,126,29,0,29,0,29,258,29,0.774509803921569,29,2212,2856,0.061482820976492,29,136,2212,0.047619047619048,29,136,2856,0.135658914728682,29,35,258,0.724806201550388,29,187,258,2021/09/10,,0,29,2,29,1,29,3,29,3,29,2,29,2,29,3,29,0,29,0,29,3,29,0,29,1,29,2,29,0,29,1,29,1,29,0,29,2,29,337,105,276,39,0,0
NJ,8,62,11,8,61,12,86,80,21932,81,15777,81,1243,80,165,81,125,80,4,80,6,80,1374,81,241,80,230,81,1220,80,1108,81,23,80,6,80,2911,81,0.719359839503921,81,15777,21932,0.079036052648312,80,1243,15727,0.056864449425866,80,1243,21859,0.083246977547496,80,241,2895,0.472002748196496,81,1374,2911,2021/09/10,,3,81,9,81,15,81,20,81,31,81,24,81,27,81,29,81,7,80,2,80,3,80,8,80,6,80,15,80,12,80,8,80,14,80,57,79,13,80,1304,276,960,377,0,145
NM,18,33,1,20,31,1,3,51,4262,52,3074,51,426,51,61,52,15,51,0,51,2,51,392,51,140,51,139,52,418,51,408,52,8,51,6,51,466,52,0.73452807646356,51,3074,4185,0.140578265204387,50,423,3009,0.102527075812274,51,426,4155,0.315315315315315,51,140,444,0.859649122807018,51,392,456,2021/09/10,,0,52,8,51,8,51,3,51,11,51,16,51,8,51,4,51,3,52,0,51,3,50,3,50,1,50,4,50,3,50,1,50,0,50,0,51,9,51,261,22,61,19,0,0
NV,3,13,44,3,13,44,32,58,8340,60,6612,60,1109,58,128,60,94,58,1,58,4,58,747,60,231,58,238,60,1103,58,1015,60,6,58,9,58,867,60,0.792805755395683,60,6612,8340,0.170562903721932,58,1109,6502,0.13506272074047,58,1109,8211,0.27797833935018,58,231,831,0.86159169550173,60,747,867,2021/09/10,,1,60,8,60,11,60,24,60,25,60,25,60,18,60,16,60,0,60,0,58,3,58,10,58,10,58,18,58,18,58,25,58,10,58,0,58,21,58,904,430,430,58,0,13
NY,8,163,9,8,163,9,130,171,46002,180,36958,180,2874,171,281,180,155,171,10,171,32,171,3565,180,603,171,570,180,2800,171,2417,180,74,171,36,171,5030,180,0.80339985218034,180,36958,46002,0.078430302368737,171,2874,36644,0.063288630508027,171,2874,45411,0.122610817405449,171,603,4918,0.708747514910537,180,3565,5030,2021/09/10,,1,180,19,180,31,180,34,180,58,180,59,180,44,180,30,180,5,179,1,171,11,171,16,171,12,171,17,171,38,171,28,171,29,171,3,170,35,171,6574,4691,5457,1767,0,521
OH,28,156,14,32,152,14,32,195,29584,198,22869,198,3814,195,486,198,173,195,20,195,132,195,3189,198,935,195,924,198,3601,195,3355,198,213,195,86,195,4090,198,0.773019199567334,198,22869,29584,0.167958428747578,195,3814,22708,0.130015340037498,195,3814,29335,0.231779871095687,195,935,4034,0.779706601466993,198,3189,4090,2021/09/10,,5,198,19,198,45,198,62,198,97,198,119,198,71,198,63,198,2,198,2,195,6,195,8,195,22,195,35,195,27,195,23,195,20,195,1,195,36,195,819,837,792,124,0,14
