state,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
CT,5,30,7954,30,5964,30,171,31,512,28,28,29,1048,29,0.7498114156399296,30,5964,7954,0.028672032193158954,30,171,5964,0.02149861704802615,30,171,7954,0.026717557251908396,28,28,1048,0.48854961832061067,28,512,1048,2020-08-30
DC,1,13,3393,13,2671,13,131,13,231,11,24,11,334,11,0.7872089596227527,13,2671,3393,0.04904530138524897,13,131,2671,0.038608900677866195,13,131,3393,0.0718562874251497,11,24,334,0.6916167664670658,11,231,334,2020-08-30
DE,0,11,2479,11,1886,12,97,12,105,7,9,7,142,6,0.7244856797095603,11,1796,2479,0.05143160127253447,12,97,1886,0.0391286809197257,11,97,2479,0.06338028169014084,6,9,142,0.7394366197183099,6,105,142,2020-08-30
FL,102,249,74540,258,42964,258,5012,261,4458,243,1079,255,5660,243,0.5873663110781608,257,42782,72837,0.11437482543524811,258,4914,42964,0.06682318218406225,258,4981,74540,0.17949627527492018,241,1012,5638,0.7876325088339222,243,4458,5660,2020-08-30
GA,26,115,14456,119,11481,121,2799,145,1104,90,554,101,1222,82,0.7848812994585589,118,11307,14406,0.18752721888337254,121,2153,11481,0.14789706696181518,119,2138,14456,0.32755775577557755,76,397,1212,0.8641571194762684,81,1056,1222,2020-08-30
HI,2,16,1727,15,1838,25,265,22,111,14,37,14,90,12,0.7168500289519398,15,1238,1727,0.1561119293078056,18,212,1358,0.10828025477707007,15,187,1727,0.28888888888888886,12,26,90,0.6777777777777778,12,61,90,2020-08-30
IA,3,122,8198,122,4980,122,351,122,426,122,91,121,670,120,0.607465235423274,122,4980,8198,0.07048192771084337,122,351,4980,0.04281532080995365,122,351,8198,0.13582089552238805,119,91,670,0.6358208955223881,120,426,670,2020-08-30
MS,3,90,7831,95,5336,98,788,99,563,68,184,69,576,65,0.6747541820967948,95,5284,7831,0.1474887556221889,98,787,5336,0.09998723023879454,95,783,7831,0.29668411867364747,62,170,573,0.9408695652173913,64,541,575,2020-08-30
MT,277,51,2297,54,1963,59,128,59,131,32,24,32,163,27,0.7701349586417066,54,1769,2297,0.065206316861946,59,128,1963,0.054854157596865474,54,126,2297,0.14465408805031446,22,23,159,0.6855345911949685,26,109,159,2020-08-30
NC,8,116,21243,118,10144,119,1175,120,1644,108,320,111,2157,105,0.46622416796121074,118,9904,21243,0.11441557158383558,118,1158,10121,0.054571159283694624,117,1158,21220,0.1404728789986092,105,303,2157,0.7498835584536563,104,1610,2147,2020-08-30
ND,39,46,2183,46,1558,46,117,46,105,45,29,46,91,41,0.7136967475950526,46,1558,2183,0.07509627727856226,46,117,1558,0.053595968850206135,46,117,2183,0.16483516483516483,41,15,91,0.6373626373626373,40,58,91,2020-08-30
NE,1,80,4737,85,2901,85,225,86,356,62,73,58,619,61,0.6124129195693477,85,2901,4737,0.073410607657183,83,209,2847,0.044946236559139784,83,209,4650,0.1185064935064935,54,73,616,0.577922077922078,58,356,616,2020-08-30
NH,2,30,3268,30,2227,30,39,30,142,29,8,29,279,29,0.6814565483476133,30,2227,3268,0.017512348450830714,30,39,2227,0.01193390452876377,30,39,3268,0.02867383512544803,29,8,279,0.5089605734767025,29,142,279,2020-08-30
NJ,46,71,19100,74,14398,76,685,77,1047,71,68,72,1938,70,0.7250785340314136,74,13849,19100,0.04708987359355466,76,678,14398,0.03193717277486911,74,610,19100,0.03508771929824561,70,68,1938,0.5366357069143447,70,1040,1938,2020-08-30
NM,1,46,3330,46,2182,44,92,45,271,41,35,42,382,42,0.6685049019607843,44,2182,3264,0.043333333333333335,43,91,2100,0.02865151043288695,45,92,3211,0.09333333333333334,41,35,375,0.7150537634408602,40,266,372,2020-08-30
NV,27,61,8445,61,5897,61,735,61,608,59,193,58,838,59,0.698283007696862,61,5897,8445,0.12463964727827709,61,735,5897,0.08703374777975133,61,735,8445,0.23031026252983294,58,193,838,0.7255369928400954,59,608,838,2020-08-30
NY,24,135,43469,147,35368,149,1579,162,2950,121,223,129,4962,114,0.7151070166932189,146,30972,43311,0.041760913820402625,149,1477,35368,0.03034346315765258,147,1319,43469,0.03488619442671772,107,164,4701,0.5856150388230487,110,2866,4894,2020-08-30
OH,20,88,30623,205,22345,205,1298,205,2673,190,334,187,3803,190,0.7296803056526141,205,22345,30623,0.05826637338959465,204,1298,22277,0.0425364574799279,204,1298,30515,0.08810340279609602,187,334,3791,0.702866158296082,190,2673,3803,2020-08-30
OK,9,127,9266,125,5756,125,515,127,742,123,195,124,1108,122,0.6211957694798187,125,5756,9266,0.07991660875608061,125,460,5756,0.04964385927045111,125,460,9266,0.1759927797833935,122,195,1108,0.6696750902527075,122,742,1108,2020-08-30
OR,0,51,5153,51,4539,59,158,60,450,50,43,50,593,40,0.704832136619445,51,3632,5153,0.03480942938973342,59,158,4539,0.025422084222782845,51,131,5153,0.06239460370994941,39,37,593,0.6027164685908319,39,355,589,2020-08-30
ID,1,48,4025,49,2033,48,157,50,197,46,49,47,300,45,0.49261946459844885,47,1969,3997,0.07722577471716675,48,157,2033,0.03900621118012423,49,157,4025,0.16333333333333333,45,49,300,0.6506849315068494,43,190,292,2020-08-30
IL,9,174,29497,180,19774,186,1831,189,1978,145,348,149,3321,131,0.6499305014069228,180,19171,29497,0.09087690907251947,186,1797,19774,0.059531477777401094,180,1756,29497,0.09803921568627451,128,325,3315,0.5636584624734123,128,1855,3291,2020-08-30
IN,0,135,17006,136,10558,136,886,136,1383,128,178,128,2308,128,0.6208397036340115,136,10558,17006,0.08391740860011365,136,886,10558,0.05209925908502881,136,886,17006,0.07712305025996534,128,178,2308,0.5992201039861352,128,1383,2308,2020-08-30
KS,3,130,8097,132,4729,138,352,140,538,88,97,96,672,81,0.5688118811881188,131,4596,8080,0.0702576112412178,137,330,4697,0.039181649101053935,131,316,8065,0.12084592145015106,75,80,662,0.8130841121495327,78,522,642,2020-08-30
KY,20,104,12873,104,8849,105,637,106,1001,95,528,99,1413,96,0.6832906082498252,104,8796,12873,0.0715335066109165,105,633,8849,0.04917268701934281,104,633,12873,0.3697657913413769,95,521,1409,0.7084217975937721,94,1001,1413,2020-08-30
LA,8,189,13944,175,9875,179,1299,210,1268,96,311,196,1632,84,0.6842369477911646,175,9541,13944,0.13307200330101093,176,1290,9694,0.09169410903768753,172,1253,13665,0.17555831265508684,79,283,1612,0.71875,83,1173,1632,2020-08-30
MA,6,80,17302,79,13188,79,358,80,904,76,52,75,1795,76,0.7622240203444689,79,13188,17302,0.026463451622687293,79,349,13188,0.020171078488036065,79,349,17302,0.028969359331476322,75,52,1795,0.5036211699164346,76,904,1795,2020-08-30
MD,0,37,11427,53,9117,53,819,51,820,46,161,50,1137,46,0.7978472039905486,53,9117,11427,0.09024793388429753,51,819,9075,0.072,51,819,11375,0.14072119613016712,46,160,1137,0.7197170645446508,45,814,1131,2020-08-30
ME,0,33,2999,33,1973,34,35,34,201,32,10,30,291,29,0.6548849616538847,33,1964,2999,0.017739483020780537,34,35,1973,0.011337112370790263,33,34,2999,0.03125,28,9,288,0.6494845360824743,29,189,291,2020-08-30
MI,0,124,22239,145,16281,145,673,147,1553,124,151,143,2070,123,0.7320787308514023,144,16105,21999,0.04109084208586696,145,669,16281,0.030262152075183235,145,673,22239,0.058454106280193235,123,121,2070,0.7520581113801453,122,1553,2065,2020-08-30
MN,4,128,11170,129,7342,128,446,129,674,129,98,129,950,118,0.6634737032351347,128,7342,11066,0.059520566603105424,128,437,7342,0.039928379588182634,129,446,11170,0.10105263157894737,118,96,950,0.7031578947368421,118,668,950,2020-08-30
MO,8,122,19147,125,12446,128,933,136,1467,117,277,116,2206,112,0.6277986555867252,124,11861,18893,0.06869677004660132,128,855,12446,0.04502010758865618,125,862,19147,0.12359550561797752,105,264,2136,0.655938349954669,110,1447,2206,2020-08-30
WV,0,60,6661,60,4626,60,203,60,445,60,50,60,610,60,0.6944903167692539,60,4626,6661,0.04388240380458279,60,203,4626,0.030475904518841013,60,203,6661,0.08196721311475409,60,50,610,0.7295081967213115,60,445,610,2020-08-30
WY,0,24,1229,24,423,24,18,24,36,24,4,24,96,24,0.3441822620016273,24,423,1229,0.0425531914893617,24,18,423,0.014646053702196907,24,18,1229,0.041666666666666664,24,4,96,0.375,24,36,96,2020-08-30
