state,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
MT,2,43,1535,44,1272,49,99,49,67,24,18,25,84,19,0.7237785016286645,44,1111,1535,0.07783018867924528,49,99,1272,0.06058631921824104,44,93,1535,0.175,15,14,80,0.625,18,50,80,2020-09-04
NC,10,116,20881,115,14664,116,1065,115,1702,110,317,110,2327,109,0.6911067477611226,115,14431,20881,0.07275087096113123,115,1065,14639,0.0510644418872267,114,1065,20856,0.1362269015900301,109,317,2327,0.731413837559089,109,1702,2327,2020-09-04
ND,3,45,2205,45,1435,45,112,45,103,45,22,45,93,41,0.6507936507936508,45,1435,2205,0.07804878048780488,45,112,1435,0.050793650793650794,45,112,2205,0.10752688172043011,41,10,93,0.6129032258064516,41,57,93,2020-09-04
NE,1,74,4590,78,2549,78,208,79,308,62,76,59,623,61,0.5553376906318083,78,2549,4590,0.07767752059631228,77,198,2549,0.04319371727748691,77,198,4584,0.12238325281803543,56,76,621,0.4943820224719101,60,308,623,2020-09-04
NH,2,29,3216,29,2041,29,37,29,138,28,6,28,275,28,0.634639303482587,29,2041,3216,0.018128368446839783,29,37,2041,0.011504975124378109,29,37,3216,0.02181818181818182,28,6,275,0.5018181818181818,28,138,275,2020-09-04
NJ,41,79,19401,83,14114,85,492,91,1005,82,71,88,1999,81,0.7017164063708057,83,13614,19401,0.03436304378631146,85,485,14114,0.02267924333797227,83,440,19401,0.03551775887943972,81,71,1999,0.49874937468734365,81,997,1999,2020-09-04
NM,1,46,3421,47,2037,45,95,46,258,42,29,43,374,43,0.6106115107913669,45,2037,3336,0.04671457905544148,44,91,1948,0.02877044215626893,46,95,3302,0.07901907356948229,42,29,367,0.6876712328767123,41,251,365,2020-09-04
NV,12,19,3373,20,2501,20,266,20,248,17,80,16,326,17,0.7414764304773199,20,2501,3373,0.10635745701719312,20,266,2501,0.07886154758375334,20,266,3373,0.24539877300613497,16,80,326,0.7607361963190185,17,248,326,2020-09-04
NY,23,138,45112,151,33981,154,1547,162,2837,128,240,130,4983,120,0.6667259588660367,150,29986,44975,0.04308289926723757,154,1464,33981,0.029726015250931017,151,1341,45112,0.03677721088435374,111,173,4704,0.5577889447236181,117,2775,4975,2020-09-04
OH,8,73,29721,201,18983,201,1152,201,2516,189,327,186,3880,189,0.6387066384038222,201,18983,29721,0.06091370558375635,200,1152,18912,0.038901833654138386,200,1152,29613,0.08453981385729059,185,327,3868,0.6484536082474227,189,2516,3880,2020-09-04
OK,9,127,9076,125,5083,125,476,127,706,122,195,123,1100,121,0.5600484795063905,125,5083,9076,0.08577611646665355,125,436,5083,0.048038783605112385,125,436,9076,0.17727272727272728,121,195,1100,0.6418181818181818,121,706,1100,2020-09-04
OR,0,49,5072,49,4208,57,180,59,410,48,41,49,582,38,0.6656151419558359,49,3376,5072,0.04277566539923954,57,180,4208,0.029574132492113565,49,150,5072,0.05326460481099656,37,31,582,0.5670103092783505,38,330,582,2020-09-04
ID,3,46,3784,46,1641,34,176,48,169,36,55,47,297,45,0.4663703703703704,33,1574,3375,0.10054844606946983,34,165,1641,0.046511627906976744,46,176,3784,0.17845117845117844,45,53,297,0.5774647887323944,34,164,284,2020-09-04
IL,14,172,28784,178,17247,183,1707,187,1699,142,350,147,3253,128,0.5831177909821741,177,16683,28610,0.09752420710848264,183,1682,17247,0.0570455808782657,178,1642,28784,0.10378811210348013,126,337,3247,0.4917778467266522,125,1585,3223,2020-09-04
IN,0,138,16917,138,9785,139,854,139,1325,133,178,133,2341,133,0.5756339776556127,138,9738,16917,0.08727644353602453,139,854,9785,0.05048176390612993,138,854,16917,0.07603588210166595,133,178,2341,0.5659974369927382,133,1325,2341,2020-09-04
KS,6,122,7315,121,4157,127,301,128,475,82,86,90,646,77,0.5543403964456596,121,4055,7315,0.06828675577156744,126,281,4115,0.036436133644988315,120,265,7273,0.10849056603773585,71,69,636,0.7435064935064936,73,458,616,2020-09-04
KY,15,108,13089,108,8278,109,547,109,995,97,502,100,1509,102,0.6286958514783406,108,8229,13089,0.06607876298622856,109,547,8278,0.04179081671632669,108,547,13089,0.3371390194761585,99,502,1489,0.659377070907886,97,995,1509,2020-09-04
LA,10,186,13843,174,8863,177,821,209,1183,93,337,203,1703,85,0.6218305280647258,174,8608,13843,0.09268959234798452,173,814,8782,0.05684056913535206,170,779,13705,0.1830065359477124,81,308,1683,0.6635349383440986,85,1130,1703,2020-09-04
MA,4,79,17917,80,13926,80,294,80,870,76,43,75,1853,76,0.7772506558017526,80,13926,17917,0.02111158983196898,80,294,13926,0.0164089970419155,80,294,17917,0.023205612520237454,75,43,1853,0.4695089044792229,76,870,1853,2020-09-04
MD,1,37,10702,52,8163,53,787,51,729,48,142,50,1073,48,0.7559334703793683,52,8090,10702,0.09688538717222701,51,787,8123,0.07342723004694836,50,782,10650,0.13140726933830382,48,141,1073,0.6813495782567948,47,727,1067,2020-09-04
ME,0,30,2943,31,1812,32,38,32,182,30,9,29,283,28,0.6126401630988787,31,1803,2943,0.02097130242825607,32,38,1812,0.012572205232755691,31,37,2943,0.025,27,7,280,0.6395759717314488,28,181,283,2020-09-04
MI,2,124,23138,145,15924,146,661,146,1585,125,161,143,2228,123,0.6800933529259228,145,15736,23138,0.041509670936950516,146,661,15924,0.02856772409024116,145,661,23138,0.059245960502693,123,132,2228,0.7114003590664273,123,1585,2228,2020-09-04
MN,3,128,11031,128,6935,128,419,128,659,128,105,128,998,128,0.6286828030096999,128,6935,11031,0.060418168709444844,128,419,6935,0.03798386365696673,128,419,11031,0.10521042084168336,128,105,998,0.6603206412825652,128,659,998,2020-09-04
MO,10,121,18592,124,11064,127,911,135,1394,122,290,121,2220,120,0.5709935287400076,123,10500,18389,0.07465654374548084,127,826,11064,0.04528829604130809,124,842,18592,0.12702702702702703,114,282,2220,0.6252268602540835,117,1378,2204,2020-09-04
WV,1,60,6630,60,4233,60,225,60,434,60,68,60,616,60,0.6384615384615384,60,4233,6630,0.05315379163713678,60,225,4233,0.033936651583710405,60,225,6630,0.11038961038961038,60,68,616,0.7045454545454546,60,434,616,2020-09-04
WY,2,25,1317,25,516,25,31,25,31,25,4,25,100,25,0.3917995444191344,25,516,1317,0.060077519379844964,25,31,516,0.023538344722854973,25,31,1317,0.04,25,4,100,0.31,25,31,100,2020-09-04
