state,collection_date,Inpatient Beds Occupied Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL
LA,2020-09-01,"9,354","9,265","9,443",68.23,66.58,69.87,"13,275","13,253","13,297"
MD,2020-09-01,"7,731","7,550","7,912",78.58,72.69,84.47,"9,838","9,606","10,071"
MI,2020-09-01,"16,475","16,333","16,617",71.76,68.67,74.85,"22,958","22,588","23,329"
AR,2020-09-02,"5,376","5,352","5,400",67.87,66.88,68.87,"7,880","7,846","7,913"
CA,2020-09-02,"43,261","43,019","43,502",70.80,69.49,72.11,"61,106","60,774","61,438"
CT,2020-09-02,"5,964","5,964","5,964",74.98,74.98,74.98,"7,954","7,954","7,954"
GA,2020-09-02,"14,010","13,624","14,395",79.75,72.70,86.79,"17,458","16,963","17,954"
ID,2020-09-02,"1,742","1,737","1,746",48.79,48.25,49.32,"3,570","3,518","3,622"
IN,2020-09-02,"10,060","9,990","10,130",62.31,60.93,63.69,"16,145","16,059","16,231"
KS,2020-09-02,"4,328","4,312","4,344",56.40,55.39,57.41,"7,498","7,432","7,564"
LA,2020-09-02,"9,526","9,437","9,616",69.04,67.38,70.69,"13,383","13,353","13,413"
MD,2020-09-02,"7,847","7,847","7,847",79.09,79.09,79.09,"9,922","9,922","9,922"
MI,2020-09-02,"17,080","17,064","17,097",74.61,74.21,75.01,"22,893","22,844","22,942"
AR,2020-09-03,"5,329","5,312","5,347",68.03,67.07,68.99,"7,797","7,760","7,834"
CA,2020-09-03,"43,330","43,077","43,582",71.02,69.75,72.30,"61,007","60,714","61,300"
CT,2020-09-03,"5,918","5,918","5,918",73.34,73.34,73.34,"8,069","8,069","8,069"
GA,2020-09-03,"14,063","13,882","14,244",81.94,78.86,85.01,"17,062","16,852","17,271"
ID,2020-09-03,"1,735","1,727","1,744",49.44,49.44,49.44,"3,510","3,460","3,560"
IN,2020-09-03,"9,976","9,959","9,993",62.02,61.58,62.45,"16,086","16,052","16,120"
KS,2020-09-03,"4,263","4,246","4,280",57.83,56.58,59.09,"7,196","7,128","7,264"
LA,2020-09-03,"9,362","9,254","9,471",67.79,65.43,70.15,"13,376","13,271","13,481"
MD,2020-09-03,"7,886","7,886","7,886",79.50,79.50,79.50,"9,919","9,919","9,919"
MI,2020-09-03,"17,102","16,791","17,412",74.59,70.43,78.76,"22,926","22,562","23,290"
AR,2020-09-04,"5,120","5,057","5,183",65.54,62.85,68.23,"7,777","7,690","7,864"
CA,2020-09-04,"43,283","43,182","43,383",71.03,70.51,71.54,"60,938","60,815","61,060"
CT,2020-09-04,"5,894","5,884","5,904",73.09,72.73,73.45,"8,064","8,054","8,074"
GA,2020-09-04,"13,824","13,589","14,058",80.61,76.57,84.64,"17,032","16,771","17,294"
ID,2020-09-04,"1,731","1,721","1,742",48.30,46.17,50.44,"3,584","3,533","3,635"
IN,2020-09-04,"9,838","9,672","10,004",61.19,57.81,64.56,"16,079","15,863","16,295"
