state,date,new_results_reported_Inconclusive,new_results_reported_Negative,new_results_reported_Positive,total_results_reported_Inconclusive,total_results_reported_Negative,total_results_reported_Positive,inpatient_beds_used_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_covid,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_suspected,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_suspected,inpatient_beds_used_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,previous_day_admission_adult_covid_confirmed_coverage,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death
ME,2020-10-19,0.0,4281.0,42.0,503.0,543553.0,6898.0,20.0,20.0,10.0,0.0,0.0,2.0,1.0,0.0,23.0,0.0,0.0,37.0,35.0,34.0,38.0,5989.0,5341.0,648.0,27.0,9.0,146.0,145.0,1.0,0.0,0.0
MI,2020-10-19,82.0,37065.0,2050.0,10155.0,4422564.0,219414.0,1134.0,1117.0,914.0,11.0,5.0,265.0,246.0,93.0,112.0,0.0,7.0,151.0,150.0,148.0,155.0,164123.0,147806.0,16317.0,5004.0,304.0,7363.0,7031.0,332.0,46.0,2.0
MN,2020-10-19,19.0,26071.0,2168.0,2705.0,2840272.0,188071.0,704.0,684.0,564.0,20.0,17.0,176.0,157.0,66.0,62.0,8.0,4.0,129.0,129.0,129.0,130.0,124439.0,,,0.0,0.0,2292.0,2229.0,63.0,0.0,0.0
MO,2020-10-19,46.0,14301.0,1982.0,4707.0,2011321.0,204750.0,1499.0,1420.0,1247.0,78.0,16.0,475.0,436.0,154.0,182.0,2.0,8.0,131.0,131.0,131.0,135.0,171619.0,,,2839.0,202.0,2590.0,,,8.0,0.0
MP,2020-10-19,0.0,112.0,7.0,3.0,21826.0,210.0,,,,,,,,,,,,,,,,88.0,88.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0
MS,2020-10-19,6.0,2557.0,261.0,2900.0,595845.0,76412.0,616.0,611.0,541.0,5.0,0.0,182.0,167.0,83.0,58.0,0.0,4.0,100.0,97.0,90.0,104.0,111322.0,99451.0,11871.0,730.0,226.0,3202.0,2903.0,299.0,31.0,7.0
MT,2020-10-19,2.0,487.0,362.0,426.0,385444.0,40177.0,358.0,354.0,337.0,4.0,0.0,70.0,70.0,64.0,34.0,1.0,4.0,66.0,66.0,66.0,67.0,23390.0,23390.0,0.0,569.0,0.0,241.0,241.0,0.0,0.0,0.0
NC,2020-10-19,21.0,15757.0,1579.0,5038.0,3239083.0,287216.0,1487.0,1462.0,1070.0,25.0,6.0,367.0,334.0,119.0,241.0,1.0,13.0,120.0,120.0,118.0,126.0,247172.0,238949.0,8223.0,1144.0,0.0,3939.0,3892.0,47.0,5.0,0.0
ND,2020-10-19,9.0,5255.0,777.0,1038.0,713409.0,35669.0,220.0,219.0,198.0,1.0,1.0,44.0,44.0,20.0,11.0,0.0,0.0,48.0,48.0,48.0,49.0,33666.0,33666.0,0.0,1029.0,0.0,412.0,,,4.0,0.0
NE,2020-10-19,2.0,4325.0,976.0,817.0,730220.0,111427.0,429.0,424.0,369.0,5.0,1.0,119.0,116.0,42.0,24.0,0.0,1.0,94.0,94.0,94.0,96.0,58817.0,,,749.0,0.0,554.0,,,6.0,0.0
NH,2020-10-19,2.0,5039.0,63.0,394.0,542050.0,12095.0,51.0,49.0,15.0,2.0,0.0,16.0,5.0,2.0,20.0,0.0,1.0,30.0,30.0,30.0,30.0,9746.0,,,52.0,13.0,468.0,,,1.0,0.0
